Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,
Periode 01-31 Mei 2026,,,,,,,,,,
Tanggal,No,Keterangan,Kategori, Penerimaan , Pengeluaran ,Saldo,,Kategori,SUM of  Penerimaan ,SUM of  Pengeluaran 
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 1pcs  gulaku gula @ 17.500,Rumah Tangga,,"17,500","1,699,430",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 1pcs  top coff gl aren @ 13.500,Rumah Tangga,,"13,500","1,685,930",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 2pcs lwk kopi murni @ 10.500,Rumah Tangga,,"21,000","1,664,930",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 1pcs  spr pell sakura @ 13.100,Rumah Tangga,,"13,100","1,651,830",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 1pcs  snlight lime  @ 15.900,Rumah Tangga,,15900,"1,635,930",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 2pcs  neo /cf mchno @ 10.900,Rumah Tangga,,"21,800","1,614,130",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 1pcs  neo /c crml mc @ 10.800,Rumah Tangga,,"10,800","1,603,330",,,,
05-Mei,3,diskon pembelian ,diskon,,"-9,500","1,612,830",,,,
05-Mei,3,Bi untuk pembelian rumah tangga tgl 05/05/2026- 2pcs  plastik mbg @ 5.000,Rumah Tangga,,"10,000","1,602,830",,,,
05-Mei,3,Bi parkir N 2110 EFD Bank Mandiri Singosari tgl 05/05/2026,transportasi,,"2,000","1,600,830",,,,
05-Mei,3,Bi BBM L 1793 ACP  tgl 05/05/2026 ltr 20.0 ,transportasi,,"200,000","1,400,830",,,,
05-Mei,3,Bi BBM P 2616 UC km 8316  tgl 05/05/2026 ltr 2.5 ,transportasi,,"25,000","1,375,830",,,,
05-Mei,3,Bi BBM M 5687 CP  km 494534  tgl 05/05/2026 ltr 1.0,transportasi,,"10,000","1,365,830",,,,
05-Mei,3,Bi BBM N 2110 EFD  km 6747 tgl 05/05/2026 ltr 2.5 maintance mangliawan,transportasi,,"25,000","1,340,830",,,,
05-Mei,3,Bi BBM N 2109 EFD  km 496284 tgl 05/05/2026 ltr 2.5 maintance mangliawan,transportasi,,"25,000","1,315,830",,,,
05-Mei,3,Bi BBM N 2418 km 24197 tgl 05/05/2026 ltr 2.0 maintance mangliawan,transportasi,,"20,000","1,295,830",,,,
05-Mei,3,Bi BBM N 2668 GM km 501499 tgl 05/05/2026 ltr 2.0 maintance martopuro,transportasi,,"20,000","1,275,830",,,,
05-Mei,3,Bi BBM N 2760 ABO km 64299 tgl 05/05/2026 ltr 2.0 maintance martopuro,transportasi,,"20,000","1,255,830",,,,
05-Mei,3,"Bi BBM N 6840 GE km 768236 tgl 05/05/2026 ltr 1.5 odp suko, maintance srigading",transportasi,,"15,000","1,240,830",,,,
05-Mei,3,Bi untuk konsumsi kantor tgl  05/05/2026,konsumsi kantor,,"100,000","1,140,830",,,,
05-Mei,3,"Bi untuk konsumsi  BB ODP duta,suko team rafli tgl 05/05/2026",sangu,,"50,000","1,090,830",,,,
05-Mei,3,Bi untuk operasional pak bara tgl 05/05/2026,lain-lain,,"50,000","1,040,830",,,,
05-Mei,3,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 05/05/2026,Listrik Kantor,,"204,000","836,830",,,,
05-Mei,3,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 05/05/2026,Listrik Server,,"205,000","631,830",,,,
05-Mei,3,Bi pembelian material tgl  05/05/2026- 1pcs 2f4e +adaptor @ 75.000,Material,,"75,000","556,830",,,,
06-Mei,4,dana Masuk Operasional,dana masuk,2000000,,"2,556,830",,,,
06-Mei,4,Bi untuk konsumsi kantor tgl  06/05/2026,konsumsi kantor,,"113,000","2,443,830",,,,
06-Mei,4,Bi untuk fee karyawan kantor tgl 06/05/2026,fee,,"350,000","2,093,830",,,,
06-Mei,4,Bi pembelian material tgl  06/05/2026- 1pcs klem 6mm @ 15.000,Material,,"15,000","2,078,830",,,,
06-Mei,4,"Bi BBM N 3346 ABF km 714887 tgl 05/05/2026 ltr 2.0 odp suko, duta",transportasi,,"20,000","2,058,830",,,,
06-Mei,4,Bi BBM M 3639 AI km 42289 tgl 05/05/2026 ltr 2.0  taging tiang bedali,transportasi,,"20,000","2,038,830",,,,
06-Mei,4,Bi BBM P 2616 UC km 8316  tgl 06/05/2026 ltr 1.5 taging tiang lawang,transportasi,,"15,000","2,023,830",,,,
06-Mei,4,"Bi BBM N 2668 GM km 508979  tgl 06/05/2026 ltr 2.5 maintance arjosari,comboran",transportasi,,"25,000","1,998,830",,,,
06-Mei,4,Bi BBM N 5810 VAB km 517  tgl 06/05/2026 ltr 1.6 maintance tutur,transportasi,,"20,000","1,978,830",,,,
06-Mei,4,Bi BBM N 4064 EDL tgl 06/05/2026 ltr 2.0 maintance martopuro,transportasi,,"20,000","1,958,830",,,,
06-Mei,4,"Bi untuk konsumsi  BB ODP duta,suko team rafli tgl 06/05/2026",sangu,,"50,000","1,908,830",,,,
06-Mei,4,Bi konsumsi maintance kabel martopuro tgl 06/05/2026,konsumsi,,"30,000","1,878,830",,,,
06-Mei,4,Bi untuk pembayaran ongkir SFP tgl 06/05/2026,ongkir,,"21,000","1,857,830",,,,
07-mei,5,Bi untuk konsumsi kantor tgl  07/05/2026,konsumsi kantor,,"100,000","1,757,830",,,,
07-mei,5,"Bi untuk konsumsi  BB ODP duta,suko team rafli tgl 07/05/2026",sangu,,"50,000","1,707,830",,,,
07-mei,5,Bi untuk konsumsi  maintance paralayang tgl 07/05/2026,konsumsi,,"86,000","1,621,830",,,,
07-mei,5,Bi BBM N 6840 GE km 775432  tgl 07/05/2026 ltr 1.6 maintance rest area,transportasi,,"20,000","1,601,830",,,,
07-mei,5,Bi parkir N 4064 EDL dian stationary tgl 07/05/2026,transportasi,,2000,"1,599,830",,,,
07-mei,5,Bi parkir N 4064 EDL Bank Mandiri Singosari tgl 07/05/2026,transportasi,,"2,000","1,597,830",,,,
07-mei,5,Bi BBM L 1793 ACP  tgl 07/05/2026 ltr 5.0 ,transportasi,,"50,000","1,547,830",,,,
07-mei,5,Bi BBM N 2113 EFD km 531290 tgl 07/05/2026 ltr 1.5 pembangunan mangliawan,transportasi,,"15,000","1,532,830",,,,
07-mei,5,Bi BBM N 4976 FW tgl 07/05/2026 ltr 1.5 lawang,transportasi,,"15,000","1,517,830",,,,
07-mei,5,Bi BBM N 2109 EFD km 497997 tgl 07/05/2026 ltr 2.0 maintance paralayang,transportasi,,"20,000","1,497,830",,,,
07-mei,5,Bi BBM N 2114 EFD km 406098 tgl 07/05/2026 ltr 2.0 maintance paralayang,transportasi,,"20,000","1,477,830",,,,
07-mei,5,Bi pembelian material tgl  07/05/2026- 1pcs eterlink A-B @ 95.000,Material,,"95,000","1,382,830",,,,
07-mei,5,Bi pembelian material tgl  07/05/2026- 1pcs 2f4e @ 68.000                   ,Material,,"68,000","1,314,830",,,,
07-mei,5,Bi pembelian ATK tgl 07/05/2026- 2pcs natural A4 @ 38.500,ATK,,"77,000","1,237,830",,,,
07-mei,5,Bi pembelian ATK tgl 07/05/2026- 2pcs box file big @ 18.300,ATK,,"36,600","1,201,230",,,,
07-mei,5,Bi pembelian ATK tgl 07/05/2026- 1pcs cor tape joyko @ 5.800,ATK,,"5,800","1,195,430",,,,
07-mei,5,Bi pembelian ATK tgl 07/05/2026- 1pcs stapler joyko @ 8.700,ATK,,"8,700","1,186,730",,,,
07-mei,5,Bi pembelian ATK tgl 07/05/2026- 1pcs gunting @ 12.800,ATK,,"12,800","1,173,930",,,,
07-mei,5,Bi pembelian ATK tgl 07/05/2026- 10pcs k thermal 57x40 @ 3.250,ATK,,"32,500","1,141,430",,,,
07-mei,5,Bi pembelian ATK tgl 07/05/2026- 2pcs binder klip @ 4.500,ATK,,"9,000","1,132,430",,,,
07-mei,5,Bi pembelian ATK tgl 07/05/2026- 2pcs isi stapler@ 2.300,ATK,,"4,600","1,127,830",,,,
07-mei,5,Bi pembelian ATK tgl 07/05/2026- 1pack lakban @ 44.000,ATK,,"44,000","1,083,830",,,,
07-mei,5,diskon pembelian ,diskon,,"-6,000","1,089,830",,,,
08-Mei,6,dana Masuk Operasional,dana masuk,500000,,"1,589,830",,,,
08-Mei,6,"Bi BBM N 2760 ABO km 64531 tgl 06/05/2026 ltr 2.0 maintance martopuro,srigading",transportasi,,"20,000","1,569,830",,,,
08-Mei,6,"Bi BBM N 6840 GE km 856721 tgl 08/05/2026 ltr 2.0 maintance songsong,losari,arjosari     ",transportasi,,"20,000","1,549,830",,,,
08-Mei,6,Bi BBM N 2109 EFD km 498359 tgl 08/05/2026 ltr 1.0 pelurusan randuagung ,transportasi,,"12,000","1,537,830",,,,
08-Mei,6,"Bi BBM N 2114 EFD km 4007645 tgl 08/05/2026 ltr 2.0 maintance losari,srigading,lawang",transportasi,,"20,000","1,517,830",,,,
08-Mei,6,Bi BBM P 2616 UC km 8316 tgl 08/05/2026 ltr 1.5 CSR sekolah rakyat singosari,transportasi,,"15,000","1,502,830",,,,
08-Mei,6,Bi BBM M 3639 AI km 422928 tgl 08/05/2026 ltr 1.5 taging tiang bedali,transportasi,,"15,000","1,487,830",,,,
08-Mei,6,Bi pembelian material tgl  08/05/2026- 1pcs joint closure 12 c @ 60.000,Material,,"60,000","1,427,830",,,,
08-Mei,6,Bi pembelian material tgl  08/05/2026- 20pcs dor kpm putih @ 3.000,Material,,"60,000","1,367,830",,,,
08-Mei,6,Bi untuk konsumsi  maintance paralayang  tgl 06/05/2026,konsumsi,,"20,000","1,347,830",,,,
08-Mei,6,"Bi untuk konsumsi  maintance martopuro,srigading  tgl 06/05/2026",konsumsi,,"10,000","1,337,830",,,,
08-Mei,6,Bi untuk konsumsi  rapat team om joni  tgl 07/05/2026,konsumsi,,"35,000","1,302,830",,,,
08-Mei,6,Bi untuk konsumsi  penarikan feeder duta team rafli  tgl 08/05/2026,sangu,,"70,000","1,232,830",,,,
08-Mei,6,Bi untuk konsumsi  taging tiang bedali tgl 08/05/2026,konsumsi,,"3,000","1,229,830",,,,
08-Mei,6,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 08/05/2026,Listrik Kantor,,"103,000","1,126,830",,,,
08-Mei,6,Bi untuk ongkir kabel (turen) tgl 07/05/2026,ongkir,,"181,000","945,830",,,,
09-mei,7,dana Masuk Operasional,dana masuk,2500000,,"3,445,830",,,,
09-mei,7,Bi untuk konsumsi kantor tgl  09/05/2026,konsumsi kantor,,"100,000","3,345,830",,,,
09-mei,7,Bi untuk konsumsi  pelurusan lawang team rafli  tgl 09/05/2026,sangu,,"50,000","3,295,830",,,,
09-mei,7,Bi untuk pembelian rumah tangga tgl 09/05/2026- 1pcs  kresek bsr @ 30.000,Rumah Tangga,,"30,000","3,265,830",,,,
09-mei,7,"Bi BBM N 2760 ABO km 44332 tgl 09/05/2026 ltr 2.0 maintance lawang,temanggungan,comboran",transportasi,,"20,000","3,245,830",,,,
09-mei,7,Bi BBM M 5687 CP km 495563 tgl 09/05/2026 ltr 2.0 martopuro,transportasi,,"20,000","3,225,830",,,,
09-mei,7,"Bi BBM P 2616 UC km 8316 tgl 09/05/2026 ltr 2.0 lawang, singosari",transportasi,,"20,000","3,205,830",,,,
09-mei,7,"Bi BBM N 2109 EFD km 4991843 tgl 09/05/2026 ltr 1.5 maintance lawang, srigading",transportasi,,"15,000","3,190,830",,,,
09-mei,7,Bi untuk pengembalian dana bu april tgl 09/05/2026,lain-lain,,"500,000","2,690,830",,,,
09-mei,7,Bi pembelian material tgl  05/05/2026- 2pcs spliter 1:8 @ 55.000,Material,,"110,000","2,580,830",,,,
09-mei,7,Bi pembelian material tgl  09/05/2026- 2pcs joint closure @ 75.000,Material,,"150,000","2,430,830",,,,
09-mei,7,Bi pembelian material tgl  09/05/2026- 1pcs modem f477v2+adaptor @ 110.000,Material,,"110,000","2,320,830",,,,
09-mei,7,Bi pembelian material tgl  09/05/2026- 1pcs netlink A-B @ 100.000,Material,,"100,000","2,220,830",,,,
09-mei,7,Bi pembelian material tgl  09/05/2026- 1pcs joint closure @ 100.000,Material,,"100,000","2,120,830",,,,
09-mei,7,Bi pembelian material tgl  09/05/2026- 1pcs hit ins.spry @ 35.900,Material,,"35,900","2,084,930",,,,
09-mei,7,diskon pembelian ,diskon,,"-2,000","2,086,930",,,,
09-mei,7,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 09/05/2026,Listrik Kantor,,"205,000","1,881,930",,,,
09-mei,7,Bi untuk ongkir OLT epon 2 pon karangploso tgl 09/05/2026,ongkir,,35000,"1,846,930",,,,
11-mei,8,dana Masuk Operasional,dana masuk,2500000,,"4,346,930",,,,
11-mei,8,Bi untuk pembayaran etol 6013500803233528 tgl  09/05/2026 ,etol,,55000,"4,291,930",,,,
11-mei,8,Bi untuk pembelian rumah tangga tgl 10/05/2026- 1pcs idm kmpr deo skra  @ 18.900,Rumah Tangga,,18900,"4,273,030",,,,
11-mei,8,diskon pembelian ,diskon,,-4000,"4,277,030",,,,
11-mei,8,Bi untuk pembelian rumah tangga tgl 10/05/2026- 1pcs stella a/f  @ 30.900,Rumah Tangga,,30900,"4,246,130",,,,
11-mei,8,Bi untuk pembelian rumah tangga tgl 10/05/2026- 1pcs idm ktg plstk @ 100,Rumah Tangga,,100,"4,246,030",,,,
11-mei,8,diskon pembelian ,diskon,,-4000,"4,250,030",,,,
11-mei,8,Bi untuk pembelian rumah tangga tgl 11/05/2026- 1pcs  sosro celup  @ 7.300,Rumah Tangga,,7300,"4,242,730",,,,
11-mei,8,Bi untuk pembelian rumah tangga tgl 11/05/2026- 1pcs  neo tramsu @ 10.800,Rumah Tangga,,10800,"4,231,930",,,,
11-mei,8,Bi untuk pembelian rumah tangga tgl 11/05/2026- 2pcs lwk koppi@ 10.500,Rumah Tangga,,"21,000","4,210,930",,,,
11-mei,8,Bi untuk pembelian rumah tangga tgl 11/05/2026- 1pcs  top /coff mkachno @ 13.500,Rumah Tangga,,"13,500","4,197,430",,,,
11-mei,8,Bi untuk pembelian rumah tangga tgl 11/05/2026- 2pcs  neo cf mchno @ 10.800,Rumah Tangga,,"21,600","4,175,830",,,,
11-mei,8,Bi untuk pembelian rumah tangga tgl 11/05/2026- 1pcs  idm f/t 2 ply  @ 22.500,Rumah Tangga,,"22,500","4,153,330",,,,
11-mei,8,Bi untuk pembelian rumah tangga tgl 11/05/2026- 1pcs idm ktg plstk @ 300,Rumah Tangga,,300,"4,153,030",,,,
11-mei,8,diskon pembelian ,diskon,,"-15,200","4,168,230",,,,
11-mei,8,"Bi BBM N 2110 EFD km 865472 tgl 09/05/2026 ltr 1.5 maintance lawang,gadang",transportasi,,15000,"4,153,230",,,,
11-mei,8,"Bi BBM N 6840 GE km 677922 tgl 10/05/2026 ltr 2.0 maintance gadang,sukun",transportasi,,20000,"4,133,230",,,,
11-mei,8,Bi parkir N 2113 EFD dian stationary tgl 11/05/2026,transportasi,,2000,"4,131,230",,,,
11-mei,8,Bi parkir N 2113 EFD Bank Mandiri Singosari tgl 11/05/2026,transportasi,,"2,000","4,129,230",,,,
11-mei,8,"Bi BBM N 2114 EFD km 409679 tgl 11/05/2026 ltr 2.0 maintance lawang, tutur",transportasi,,"20,000","4,109,230",,,,
11-mei,8,Bi pembelian ATK tgl 11/05/2026- 30pcs k bufalo @ 500,ATK,,"15,000","4,094,230",,,,
11-mei,8,Bi pembelian ATK tgl 11/05/2026- 5pcs nota mini @ 1.600,ATK,,"8,000","4,086,230",,,,
11-mei,8,diskon pembelian ,diskon,,"-2,000","4,088,230",,,,
11-mei,8,Bi konsumsi terminasi gadang team rafli tgl 11/05/2026,sangu,,"50,000","4,038,230",,,,
11-mei,8,Bi konsumsi  gadang team ridwan tgl 11/05/2026,sangu,,"50,000","3,988,230",,,,
11-mei,8,Bi untuk perawatan  kendaraan service N 2668 GM tgl 08/05/2026,perawatan kendaraan ,,"115,000","3,873,230",,,,
11-mei,8,Bi untuk perawatan  kendaraan service N 3573 EFJ tgl 11/05/2026,perawatan kendaraan ,,"69,500","3,803,730",,,,
12-mei,9,Bi untuk konsumsi kantor tgl  12/05/2026,konsumsi kantor,,"150,000","3,653,730",,,,
12-mei,9,Bi BBM N 2668 GM km 501459 tgl 12/05/2026 ltr 2.0 maintance arjosari,transportasi,,"20,000","3,633,730",,,,
12-mei,9,Bi BBM N 6840 GE km 778923 tgl 12/05/2026 ltr 2.0 maintance gadang,transportasi,,"20,000","3,613,730",,,,
12-mei,9,Bi BBM N 2109 EFD km 501059 tgl 12/05/2026 ltr 1.0 bedali,transportasi,,"10,000","3,603,730",,,,
12-mei,9,Bi BBM N 3183 tgl 12/05/2026 ltr 1.0 ,transportasi,,"10,000","3,593,730",,,,
12-mei,9,Bi BBM L 1793 ACP  km 144525 tgl 12/05/2026 ltr 10.0 ,transportasi,,"100,000","3,493,730",,,,
12-mei,9,Bi parkir N 4064 EDL dian stationary tgl 12/05/2026,transportasi,,2000,"3,491,730",,,,
12-mei,9,Bi parkir N 4064 EDL Bank Mandiri Singosari tgl 12/05/2026,transportasi,,"2,000","3,489,730",,,,
12-mei,9,Bi BBM L 1793 ACP  tgl 07/05/2026 ltr 10.0 ,transportasi,,"100,000","3,389,730",,,,
12-mei,9,Bi untuk pembelian rumah tangga tgl 12/05/2026- 1pack cleo  @ 22.000,Rumah Tangga,,"22,000","3,367,730",,,,
12-mei,9,Bi pembelian material tgl  12/05/2026- closure @ 225.000,Material,,"225,000","3,142,730",,,,
12-mei,9,Bi pembelian ATK tgl 12/05/2026- 5pcs hvs 100 1sisi A3 @ 17.500,ATK,,"17,500","3,125,230",,,,
12-mei,9,Bi pembelian ATK tgl 12/05/2026- 1pcs spidol @ 20.000,ATK,,"20,000","3,105,230",,,,
12-mei,9,Bi pembelian ATK tgl 12/05/2026- 1pcs TAHER HP 85A @ 190.000,ATK,,"190,000","2,915,230",,,,
12-mei,9,Bi pembelian ATK tgl 12/05/2026- 2pcs kwitansi paperline kecil@ 3.500,ATK,,"7,000","2,908,230",,,,
12-mei,9,Bi pembelian ATK tgl 12/05/2026- 12pcs amplop tali@ 0.500,ATK,,"17,000","2,891,230",,,,
12-mei,9,diskon pembelian ,diskon,,-600,"2,891,830",,,,
12-mei,9,Bi untuk pembayaran ongkos kirim surgr office jakarta tgl 12/05/2026,ongkir,,"12,900","2,878,930",,,,
13-mei,10,dana Masuk Operasional,dana masuk,2000000,,"4,878,930",,,,
13-mei,10,Bi untuk konsumsi team laporan stasiun tgl 12/05/2026,konsumsi,,"100,000","4,778,930",,,,
13-mei,10,Bi untuk konsumsi kantor tgl  13/05/2026,konsumsi kantor,,"100,000","4,678,930",,,,
13-mei,10,Bi BBM DK 6912 AAW  km 455023 tgl 08/05/2026 ltr 1.6 karangploso,transportasi,,"20,000","4,658,930",,,,
13-mei,10,"Bi BBM N 5208 GW km 0 tgl 13/05/2026 ltr 3.2 maintance srigading,suko, gadang",transportasi,,"40,000","4,618,930",,,,
13-mei,10,"Bi BBM N 2109 EFD km 501521 tgl 13/05/2026 ltr 1.0 maintance lawang,singosari",transportasi,,"15,000","4,603,930",,,,
13-mei,10,Bi BBM N 2110 EFD km 450454 tgl 13/05/2026 ltr 1.5 maintance lawang,transportasi,,"15,000","4,588,930",,,,
13-mei,10,Bi BBM L 1793 ACP  km 144966 tgl 13/05/2026 ltr 10.0 ,transportasi,,"100,000","4,488,930",,,,
13-mei,10,Bi untuk perawatan  kendaraan service N 2109 EFD tgl 13/05/2026,perawatan kendaraan ,,115000,"4,373,930",,,,
13-mei,10,Bi pembelian material tgl  13/05/2026- 1pcs joint closure @ 60.000,Material,,"60,000","4,313,930",,,,
13-mei,10,Bi untuk pembelian rumah tangga tgl 13/05/2026- 600pcs thinwal 100ml  @ 1.440,Rumah Tangga,,"864,000","3,449,930",,,,
13-mei,10,Bi untuk pembelian rumah tangga tgl 13/05/2026- 75pcs thinwal 2400ml  @ 4.890,Rumah Tangga,,"366,750","3,083,180",,,,
13-mei,10,Bi untuk pembelian rumah tangga tgl 13/05/2026- 2pcs tictas @ 13.000,Rumah Tangga,,"26,000","3,057,180",,,,
13-mei,10,Bi untuk pembelian rumah tangga tgl 13/05/2026- 3pcs gelas polkadot @ 9.500,Rumah Tangga,,"28,500","3,028,680",,,,
13-mei,10,Bi untuk pembelian rumah tangga tgl 13/05/2026- 1pcs beken @ 24.000,Rumah Tangga,,"24,000","3,004,680",,,,
13-mei,10,Bi untuk pembelian rumah tangga tgl 13/05/2026- 5pcs hdpe boyo@ 3.600,Rumah Tangga,,"18,000","2,986,680",,,,
13-mei,10,Bi untuk pembelian rumah tangga tgl 13/05/2026- 1pcs cetakan agar @ 12.000,Rumah Tangga,,"12,000","2,974,680",,,,
13-mei,10,Bi pembelian ATK tgl 13/05/2026- 6pcs selotip nachi@ 7.000,ATK,,"42,000","2,932,680",,,,
13-mei,10,Bi pembelian ATK tgl 13/05/2026- 1pcs dispencer tape lion @ 28.500,ATK,,"28,500","2,904,180",,,,
13-mei,10,Bi pembelian ATK tgl 13/05/2026- 5pcs k.stiker ratu @ 21.000,ATK,,"105,000","2,799,180",,,,
