 ,,,,,,,,
,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,
Periode 01-30 januari 2026,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,
,,,, Penerimaan , Pengeluaran ,,,
,,Bi pembelian material tgl 06/01/2026- 2pcs isolasi @ 10.000,Material,,"10,000","1,436,720",,
,,Bi pembelian material tgl 06/01/2026- 20pcs isolasi nasional @ 6.000,Material,,"120,000","1,316,720",,
,,Bi pembelian material tgl 06/01/2026- 7pcs masko G @ 6.000,Material,,"42,000","1,274,720",,
,,Bi pembelian material tgl 06/01/2026- 6pcs netlink A-B @ 85.000,Material,,"510,000","764,720",,
,,Bi pembelian material tgl 06/01/2026- 5pcs 2F4E PCB @ 65.000,Material,,"325,000","439,720",,
,,Bi pembelian material tgl 06/01/2026- 5pcs adaptor 9v @ 25.000,Material,,"125,000","314,720",,
,,Bi pembelian material tgl 06/01/2026- 3pcs Rj45 vascolink @ 43.000,Material,,"129,000","185,720",,
,,Bi pembelian material tgl 06/01/2026- 1pcs zimm link UPT @ 370.000,Material,,"370,000","-184,280",,
,,diskon pembelian,diskon,,"-9,000","-175,280",,
,,"Bi BBM N4559 EGM km 398999 tgl 06/01/2026 ltr 2.0 maintance arjosari, karangploso",Transportasi,,"20,000","-195,280",,
,,Bi BBM N 2109 km 423547 tgl 06/01/2026 ltr 3.0 maintance lawang,Transportasi,,"30,000","-225,280",,
,,Bi BBM N 2113 EFD km 465037 tgl 06/01/2026 ltr 3.0 singosari,Transportasi,,"30,000","-255,280",,
,,Bi BBM N 1195 FV tgl 06/01/2026 ltr 5.0 ,Transportasi,,"50,000","-305,280",,
,,Bi parkir N 2113 Bank Mandiri Lawang tgl 06/01/2026,Transportasi,,"2,000","-307,280",,
,,Bi untuk perawatan  kendaraan service ban N 2113 EFD  tgl 06/01/2026,Perawatan Kendaraan,,"5,000","-312,280",,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 06/01/2026,Listrik Kantor,,"203,500","-515,780",,
,6,Bi untuk pembelian ATK tgl 06/01/2026 - 5pcs isi stapler@ 1.400,ATK,,"7,000","-522,780",,
,,Bi untuk pembelian ATK tgl 06/01/2026 - 1pcs cutter vanco @ 7.400,ATK,,"7,400","-530,180",,
,,Bi untuk pembelian ATK tgl 06/01/2026 - 1pcs k.thermal@ 29.000,ATK,,"29,000","-559,180",,
,,diskon pembelian,diskon,,-1000,"-558,180",,
,,Bi untuk pembelian rumah tangga tgl 06/01/2026 - 1pcs ctk 6x10 @ 2.500 ,Rumah Tangga,,"2,500","-560,680",,
,,Bi untuk pembelian rumah tangga tgl 06/01/2026 - 1pcs boyo uk 35 @ 23.000,Rumah Tangga,,"23,000","-583,680",,
,,Bi untuk pembelian Konsumsi Kantor tgl 06/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","-713,680",,
,,Bi untuk pembayaran  jasa tukang tgl 06/01/2026,jasa,,"500,000","-1,213,680",,
7 Jan,7,Dana Masuk Operasional,dana masuk,2000000,,"786,320",,
,,Bi transportasi IKR Lawang tgl 07/01/2026,IKR Lawang,,23000,"763,320",,
,,Bi pembelian konsumsi untuk IKR Lawang tgl 07/01/2026 ,IKR Lawang,,"50,900","712,420",,
,,Bi untuk pembelian Konsumsi Kantor tgl 07/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","582,420",,
,,Bi parkir N 2821 TEO Bank Mandiri Singosari tgl 07/01/2026,Transportasi,,"2,000","580,420",,
,,Bi pembayaran transport karyawan kantor tgl 07/01/2026,Transportasi,,"350,000","230,420",,
,,"Bi BBM N 2821 TEO km 366613 tgl 07/01/2026 ltr 1.0 lawang,singosari",Transportasi,,"10,000","220,420",,
,,Bi BBM N 4559 EGM  km 398999 tgl 07/01/2026 ltr 1.5 maintance  arjosari,Transportasi,,"15,000","205,420",,
,,Bi BBM W3979 QH  km 211063 tgl 07/01/2026 ltr 0.8 lawang                   ,Transportasi,,"10,000","195,420",,
,,Bi untuk pembelian rokok maintance lawang (rahmat) tgl 07/01/2026,jasa,,32000,"163,420",,
,,Bi pembelian material tgl 07/01/2026- 2pcs Te @ 7.000,Material,,14000,"149,420",,
8 Jan,8,Bi BBM N 2114 EFD km 356323 tgl 08/01/2026 ltr 3.0 singosari,Transportasi,,"29,990","119,430",,
,,Bi BBM N 3281 GG km 547978 tgl 08/01/2026 ltr 1.5 sukun  ,Transportasi,,"15,000","104,430",,
,,Bi BBM N 2110 EFD km 388193 tgl 08/01/2026 ltr 3.8 maintance jatisari ,Transportasi,,"38,000","66,430",,
,,Bi parkir N 2114 EFD Bank Mandiri Singosari tgl 08/01/2026,Transportasi,,"2,000","64,430",,
,,Bi BBM N 2418 YBI km 594211 tgl 08/01/2026 ltr 2.0 IKR Lawang ,IKR Lawang,,"20,000","44,430",,
,,Bi transportasi IKR Lawang tgl 08/01/2026,IKR Lawang,,14500,"29,930",,
,,Bi pembelian konsumsi untuk IKR Lawang tgl 08/01/2026 ,IKR Lawang,,39000,"-9,070",,
,,Bi untuk pembelian rokok tukang  tgl 08/01/2026,tukang,,23500,"-32,570",,
,,Bi untuk pembayaran service mesin cuci tgl 08/01/2026,perawatan ,,150000,"-182,570",,
,,Bi untuk pembayaran print dokumen tgl 08/01/2026,print,,5000,"-187,570",,
,,Bi untuk pembelian rumah tangga tgl 08/01/2026 - 2pcs garuda rosta @ 10.400 ,Rumah Tangga,,20800,"-208,370",,
,,Bi untuk pembelian rumah tangga tgl 08/01/2026 - 2pcs pikopi gula aren@ 12.600,Rumah Tangga,,25200,"-233,570",,
,,Bi untuk pembelian rumah tangga tgl 08/01/2026 - 1pcs taro potato @ 15.400,Rumah Tangga,,15400,"-248,970",,
,,Bi untuk pembelian rumah tangga tgl 08/01/2026 - 1 pcs ktg plstk @ 100,Rumah Tangga,,100,"-249,070",,
,,Bi untuk pembelian rumah tangga tgl 08/01/2026 - 1 pcs pikopi 3ini @ 11.800,Rumah Tangga,,11800,"-260,870",,
,,diskon pembelian,diskon,,-19300,"-241,570",,
,,Bi untuk pembelian Konsumsi Kantor tgl 08/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","-371,570",,
9-Jan-26,9,Bi pembelian material tgl 09/01/2026- 1pcs tang potong tekiro @ 52.000,Material,,52000,"-423,570",,
,,Bi untuk pembelian pulsa NOC 081255900222 tgl 09/01/2026,pulsa,,51500,"-475,070",,
,,Bi BBM N 2113 EFD km 466478 tgl 09/01/2026 ltr 2.5 maintance bedali,Transportasi,,25000,"-500,070",,
,,Bi BBM N 2109 EFD km 424899 tgl 09/01/2026 ltr 2.5 maintance bedali,Transportasi,,25000,"-525,070",,
,,Bi parkir N 2821 TEO Bank Mandiri Lawag tgl 09/01/2026,Transportasi,,"2,000","-527,070",,
,,Bi untuk pembelian Konsumsi Kantor tgl 09/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","-657,070",,
10-Jan,10,Dana Masuk Operasional,dana masuk,"1,700,000",,"1,042,930",,
,,Bi untuk pembayaran fee IKR Tim SMK Unsur 50user tgl 10/01/2026,fee,,1250000,"-207,070",,
,,Bi pembelian material tgl 10/01/2026- 10pack paku klam07 @ 3.000,Material,,30000,"-237,070",,
,,Bi untuk pembelian ATK tgl 10/01/2026 - 10pcs kertas linen @ 1.500,ATK,,15000,"-252,070",,
,,Bi untuk pembelian rumah tangga tgl 10/01/2026 - 6pcs oxy@ 12.000,Rumah Tangga,,72000,"-324,070",,
,,Bi transportasi IKR Lawang tgl 10/01/2026,IKR Lawang,,24500,"-348,570",,
,,Bi untuk pembelian Konsumsi Kantor tgl 10/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","-478,570",,
12-Jan,11,Bi pembelian material tgl 12/01/2026- 10pack paku klam07 @ 3.000,Material,,30000,"-508,570",,
,,Bi pembelian material tgl 12/01/2026- 1pcs steker T @ 8.000,Material,,8000,"-516,570",,
,,Bi pembelian material tgl 12/01/2026- 1pcs inlite 20W @ 42.000,Material,,42000,"-558,570",,
,,Bi pembelian material tgl 12/01/2026- 1pcs baterai bor cordless@ 131.400,Material,,131400,"-689,970",,
,,Bi pembelian material tgl 12/01/2026- 6pcs stop arde bulat @ 6.000,Material,,"36,000","-725,970",,
,,"Bi pembelian material tgl 12/01/2026- 10m  2x1,5 x trana@ 12.000",Material,,120000,"-845,970",,
,,Bi pembelian material tgl 12/01/2026- 3pcs stop arde uticon 3lb @ 17.000,Material,,51000,"-896,970",,
,,Bi pembelian material tgl 12/01/2026- 1pcs stop arde uticon 6lb@ 36.000,Material,,36000,"-932,970",,
,,Bi pembelian material tgl 12/01/2026- 1pcs double tape foam @ 14.000,Material,,14000,"-946,970",,
,,Bi pembelian material tgl 12/01/2026- 1pcs talitis 15cm pth @ 9.000,Material,,9000,"-955,970",,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 12/01/2026,Listrik Kantor,,"203,500","-1,159,470",,
,,Bi untuk pembelian Konsumsi Kantor tgl 12/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","-1,289,470",,
,,Bi BBM N 2418 YBI km 594211 tgl 08/01/2026 ltr 1.5 IKR Lawang ,IKR Lawang,,15000,"-1,304,470",,
,,"Bi BBM N 2114 EFD km 357197 tgl 11/01/2026 ltr 1.5 maintance randuagung,yonkav,arjosari",Transportasi,,"15,000.00","-1,319,470",,
,,Bi BBM N 2114 EFD km 284572 tgl 12/01/2026 ltr 1.5 ,Transportasi,,"15,000.00","-1,334,470",,
13 Jan,12,Dana Masuk Operasional,dana masuk,5000000,,"3,665,530",1079000,3921000
,,Bi pembelian material tgl 13/01/2026- 2pcs solasi nasional @ 7.000,Material,,"14,000","3,651,530",,
,,Bi pembelian material tgl 13/12/2026- 1pcs sealant tabung @ 35.000,Material,,"35,000","3,616,530",,
,,Bi pembelian material tgl 13/01/2026- 1pack kabel tic @ 12.000,Material,,"12,000","3,604,530",,
,,Bi pembelian material tgl 13/01/2026- 2pcs spliter 1:2 kabel @ 30.000,Material,,"60,000","3,544,530",,
,,Bi BBM N 2109 EFD km 426664 tgl 13/01/2026 ltr 3.0 maintance bedali ,Transportasi,,30000,"3,514,530",,
,,Bi BBM N 2114 EFD km 358225 tgl 13/01/2026 ltr 2.5 maintance tutur,Transportasi,,25880,"3,488,650",,
,,Bi BBM N 4559 EGM km 399599 tgl 13/01/2026 ltr 1.5 maintance arjosari,Transportasi,,15000,"3,473,650",,
,,Bi BBM N 2110 EFD km 391814 tgl 13/01/2026 ltr 3.0 blimbing,IKR Blimbing,,30000,"3,443,650",,
,,Bi untuk pembelian Konsumsi Kantor tgl 13/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","3,299,650",,
,,Bi untuk pembayaran  jasa tukang tgl 13/01/2026,jasa,,"120,000","3,179,650",,
,,Bi untuk perawatan  kendaraan tambal ban N 4559 EGM  tgl 13/01/2026,Perawatan Kendaraan,,"20,000","3,159,650",,
14-Jan-26,13,Bi pembelian material tgl 14/01/2026- 2pcs isolasi national@ 7.000 lawang,Material,,"14,000","3,145,650",,
,,Bi pembelian material tgl 14/01/2026- 4pcs paku klaim @ 5.000 stock,Material,,20000,"3,125,650",,
,,Bi pembelian material tgl 14/01/2026- 1pack kabel tis @ 12.000 stock,Material,,"12,000","3,113,650",,
,,Bi pembelian material tgl 14/01/2026- 1pack joint closure mini 6c @ 65.000 arjosari,Material,,"65,000","3,048,650",,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 1pcs gula @ 17.000 ,Rumah Tangga,,"17,000","3,031,650",,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 1pcs top aren@ 17.500,Rumah Tangga,,"17,500","3,014,150",,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 1pcs neo coffe @ 17.000,Rumah Tangga,,17000,"2,997,150",,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 2pcs kopi luwak@ 18.000,Rumah Tangga,,18000,"2,979,150",,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 1pcs barista @ 17.00,Rumah Tangga,,"17,000","2,962,150",,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 2pcs ares@ 17.000,Rumah Tangga,,34000,"2,928,150",,
,,Bi untuk pembayaran fee IKR Tim SMK Unsur 51user tgl 14/01/2026,fee,,1275000,"1,653,150",,
,,Bi untuk pembelian Konsumsi Kantor tgl 14/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","1,509,150",,
,,"Bi pembelian konsumsi untuk maintance kampung biru,comboran tgl 14/01/2026 ",Konsumsi,,"20,300","1,488,850",,
,,Bi pembelian konsumsi untuk tamu  tgl 14/01/2026,Konsumsi,,"100,000","1,388,850",,
,,Bi pembelian konsumsi untuk maintance lembur tgl 14/01/2026,Konsumsi,,"100,000","1,288,850",,
,,Bi pembelian konsumsi untuk maintance blimbing tgl 14/01/2026,IKR Blimbing,,"58,000","1,230,850",,
,,Bi transportasi IKR Lawang tgl 14/01/2026,IKR Lawang,,"15,000","1,215,850",,
,,Bi transportasi IKR Lawang tgl 14/01/2026,IKR Lawang,,"26,000","1,189,850",,
,,"Bi BBM N 4064 EDL km 0 tgl 14/01/2026 ltr 2.4 maintance kampung biru,comboran ",Transportasi,,"30,000","1,159,850",,
,,Bi BBM N 6460 ADR km 812801 tgl 14/01/2026 ltr 1.5 maintance srigading,Transportasi,,15000,"1,144,850",,
,,Bi BBM N 6170 AT km 243962 tgl 14/01/2026 ltr 1.0 randuagung,Transportasi,,10000,"1,134,850",,
15 Jan,14,Bi pembelian material tgl 15/12/2026- 2pcs solasi @ 7.000,Material,,"14,000","1,120,850",,
,,Bi pembelian material tgl 15/12/2026- 4pcsp. klem 06 @ 5.000,Material,,"20,000","1,100,850",,
,,Bi pembelian material tgl 15/12/2026- 2pack kabel tis @ 16.000,Material,,"32,000","1,068,850",,
,,Bi BBM N 2109 EFD km 421590 tgl 13/01/2026 ltr 1.5 maintance tasikmadu,Transportasi,,15000,"1,053,850",,
,,Bi BBM N 3281 GG  km 548857 tgl 15/01/2026 ltr 1.0 lawang,Transportasi,,10000,"1,043,850",,
,,Bi BBM N 2113 EFD  km 469315 tgl 15/01/2026 ltr 1.6  kasin,Transportasi,,20000,"1,023,850",,
,,Bi BBM N 1195 FV tgl 15/01/2026 ltr 10.0,Transportasi,,100000,"923,850",,
,,Bi BBM N 1124 IC tgl 15/01/2026 ltr 12.0 meeting di surabaya,Transportasi,,150000,"773,850",,
,,Bi BBM N 2113 EFD  km 468513 tgl 15/01/2026 ltr 2.0 batu,Transportasi,,"20,000","753,850",,
,,Bi BBM N 2109 EFD  km 427708 tgl 15/01/2026 ltr 2.0 maintance randuagung,Transportasi,,"20,000","733,850",,
,,Bi BBM N 2821 TEO  km 370037 tgl 15/01/2026 ltr 2.0 IKR Lawang,IKR Lawang,,"20,000","713,850",,
,,Bi BBM N 2418 XBI km 594211 tgl 15/01/2026 ltr 1.5 IKR Lawang,IKR Lawang,,"20,000","693,850",,
,,Bi transportasi IKR Lawang tgl 15/01/2026,IKR Lawang,,"18,500","675,350",,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 15/01/2026,Listrik Kantor,,"203,000","472,350",,
,,Bi untuk pembelian listrik server polaman idpel 502206440200 tgl 15/01/2026,Listrik Polaman,,"103,000","369,350",,
,,Bi untuk pembayaran dp jasa tukang tgl 15/01/2026,jasa,,"250,000","119,350",,
,,Bi untuk pembelian Konsumsi Kantor tgl 15/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","-24,650",,
,,Bi pembelian konsumsi untuk tamu  tgl 15/01/2026,Konsumsi,,"125,000","-149,650",,
,,Bi pembelian konsumsi untuk meeting di surabaya tgl 15/01/2026,Konsumsi,,"187,000","-336,650",,
,,Bi untuk pembayaran etol  6032982110269972 tgl 15/01/2026 meeting ke surabaya,Perjalanan Dinas,,"100,000","-436,650",,
16-Jan-26,15,Bi BBM N 1124 IC tgl 16/01/2026 ltr 10.0 ,Transportasi,,"100,000","-536,650",,
,,Bi BBM N 1195 FV tgl 16/01/2026 ltr 10.0,Transportasi,,"100,000","-636,650",,
,,"Bi BBM N 4064 EDL tgl 16/01/2026 ltr 2.5 maintance kampung biru,kasin",Transportasi,,"25,000","-661,650",,
,,Bi pembelian konsumsi untuk sosialisasi di kertosari  tgl 16/01/2026,konsumsi,,"166,000","-827,650",,
,,Bi pembelian konsumsi untuk tamu  tgl 16/01/2026,konsumsi,,"66,000","-893,650",,
,,,,,,,,
,,,,,,,,
,,,,"12,200,000","13,093,650","-893,650",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,RINCIAN KAS BON,,,,,,
Tanggal,No.Bukti,,,,,,,
,,,,,,,,
,,,,,,,,
5 Jan,,cod pak budi,,,"112,000",,,
6 Jan,,cod pak budi,,,"50,000",,,
7 Jan,,rokok PAK BUDI,,,"24,000",,,
,,cod pak budi,,,"218,500",,,
8 Jan,,novel ongkir ,,,"60,000",,,
,,bapak budi,,,"100,000",,,
,,rokok PAK BUDI,,,"24,000",,,
9 Jan,,rokok PAK BUDI,,,"100,000",,,
,,cod pak budi,,,"24,000",,,
,,ONGKIR PAKET KRIAN,,,"18,000",,,
,,cod pak budi,,,"90,000",,,
12 Jan,,cod pak budi,,,"83,000",,,
14 Jan,,cod novel ,,,"33,500",,,
,,ibu april,,,"50,000",,,
1/15,,rokok PAK BUDI,,,"25,000",,,
,,pak budi pijat,,,"50,000",,,
,,cod noval,,,"30,000",,,
,,cod pab budi,,,"130,000",,,
,,,,,,,,
,,,,,"-893,650",,,
,,,,,"  1,222,000.00 ",,,
,,Saldo Tunai                                                                                                                                                                 ,    ,,"  (2,115,650.00)",,,
,, , ,   ,,,,
,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,
Periode 17-30 januari 2026,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,
,,,, Penerimaan , Pengeluaran ,,,
,,Saldo Awal,,,,0,,
,,Dana Masuk Operasional,dana masuk,2145000,,"2,145,000",,
17- Jan,16,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 17/01/2026,Listrik Server,,"203,500","1,941,500",,
,,Bi pembelian material tgl 17/01/2026- 1pcs kabel tees 20cm @ 18.000,Material,,"18,000","1,923,500",,
,,Bi pembelian material tgl 17/01/2026- 1pcs isolasi national @ 8.000,Material,,"8,000","1,915,500",,
,,Bi pembelian material tgl 17/01/2026- 3pcs kem kabel bmm @ 5.000,Material,,"15,000","1,900,500",,
,,Bi pembelian material tgl 17/01/2026- 1pcs klem kabu 7m @ 6.000,Material,,"6,000","1,894,500",,
,,Bi pembelian material tgl 17/01/2026- 1pcs opp merah @ 30.000,Material,,"30,000","1,864,500",,
,,Bi pembelian material tgl 17/01/2026- 10pcs clam 7mm @ 7.000,Material,,"70,000","1,794,500",,
,,Bi pembelian material tgl 17/01/2026- 10pcs isolasi @ 6.000,Material,,"60,000","1,734,500",,
,,Bi pembelian material tgl 17/01/2026- 1pcs tie 200 @ 13.000,Material,,"13,000","1,721,500",,
,,Bi pembelian material tgl 17/01/2026- 1pcs tie 250 @ 16.000,Material,,"16,000","1,705,500",,
,,Bi pembelian material tgl 17/01/2026- barrel@ 300.000,Material,,"300,000","1,405,500",,
,17,"Bi BBM  AG 4129 YAX tgl 16/01/2026 ltr 2.4 maintance rest area, karangploso",Transportasi,,"29,760","1,375,740",,
,,Bi BBM N 2109 EFD km 428638 tgl 17/01/2026 ltr 1.5 maintance lawang,Transportasi,,15000,"1,360,740",,
,,Bi BBM N 4064 EDL km 0 tgl 17/01/2026 ltr 2.5 maintance comboran,Transportasi,,"25,000","1,335,740",,
,,Bi BBM N 2110 EFD km 392196 tgl 17/01/2026 ltr 3.0 maintance comboran,Transportasi,,"30,000","1,305,740",,
,,Bi BBM N 2109 EFD km 428844 tgl 17/01/2026 ltr 1.5 maintance karangploso,Transportasi,,"15,000","1,290,740",,
,,Bi BBM M 5687 CP km 469218 tgl 17/01/2026 ltr 1.5 maintance karangploso,Transportasi,,"15,000","1,275,740",,
,,Bi BBM N 1124 IC ltr 10.0 ke batu         ,perjalanan bisnis,,"100,000","1,175,740",,
,,Bi BBM N 2418 XBI km 594211 tgl 17/01/2026 ltr 1.5 IKR Lawang,IKR Lawang,,"15,000","1,160,740",,
,,Bi transportasi IKR Lawang tgl 17/01/2026,IKR Lawang,,"25,000","1,135,740",,
,,Bi untuk pembelian Konsumsi Kantor tgl 17/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","991,740",,
,,Bi untuk konsumsi perjalanan bisnis batu tgl 17/01/2026            ,konsumsi,,"371,700","620,040",,
,,Bi pembayaran kursi dan badminton ke budida tgl 17/01/2026,lain-lain,,"313,000","307,040",,
19-Jan-26,18,Dana Masuk Operasional,dana masuk,2000000,,"2,307,040",,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 18/01/2026,Listrik Kantor,,"203,000","2,104,040",,
,,Bi parkir N 2821  Bank Mandiri Singosari tgl 19/01/2026,Transportasi,,"2,000","2,102,040",,
