 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,,,,,,
Periode 01-30 januari 2026,,,,,,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,,,,,,RINCIAN KAS BON,,,
,,,, Penerimaan , Pengeluaran ,,,,,,Tanggal,No.Bukti,,,,
,,Bi BBM N 2821 TEO  km 370037 tgl 15/01/2026 ltr 2.0 IKR Lawang,IKR Lawang,,"20,000","713,850",,,,,,,,,,
,,Bi BBM N 2418 XBI km 594211 tgl 15/01/2026 ltr 1.5 IKR Lawang,IKR Lawang,,"20,000","693,850",,,,,,,,,,
,,Bi transportasi IKR Lawang tgl 15/01/2026,IKR Lawang,,"18,500","675,350",,,,,,,,,,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 15/01/2026,Listrik Kantor,,"203,000","472,350",,,,,,,,,,
,,Bi untuk pembelian listrik server polaman idpel 502206440200 tgl 15/01/2026,Listrik Polaman,,"103,000","369,350",,,,,,,,,,
,,Bi untuk pembayaran dp jasa tukang tgl 15/01/2026,jasa,,"250,000","119,350",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 15/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","-24,650",,,,,,,,,,
,,Bi pembelian konsumsi untuk tamu  tgl 15/01/2026,Konsumsi,,"125,000","-149,650",,,,,,,,,,
,,Bi pembelian konsumsi untuk meeting di surabaya tgl 15/01/2026,Konsumsi,,"187,000","-336,650",,,,,,,,,,
,,Bi untuk pembayaran etol  6032982110269972 tgl 15/01/2026 meeting ke surabaya,Perjalanan Dinas,,"100,000","-436,650",,,,,,,,,,
16-Jan-26,15,Bi BBM N 1124 IC tgl 16/01/2026 ltr 10.0 ,Transportasi,,"100,000","-536,650",,,,,,,,,,
,,Bi BBM N 1195 FV tgl 16/01/2026 ltr 10.0,Transportasi,,"100,000","-636,650",,,,,,,,,,
,,"Bi BBM N 4064 EDL tgl 16/01/2026 ltr 2.5 maintance kampung biru,kasin",Transportasi,,"25,000","-661,650",,,,,,,,,,
,,Bi pembelian konsumsi untuk sosialisasi di kertosari  tgl 16/01/2026,konsumsi,,"166,000","-827,650",,,,,,,,,,
,,Bi pembelian konsumsi untuk tamu  tgl 16/01/2026,konsumsi,,"66,000","-893,650",,,,,,,,,,
17- Jan,16,Dana Masuk Operasional,dana masuk,2145000,,"1,251,350",,,,,,,,,,
,,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 17/01/2026,Listrik Server,,"203,500","1,047,850",,,,,,,,,,
,,Bi pembelian material tgl 17/01/2026- 1pcs kabel tees 20cm @ 18.000,Material,,"18,000","1,029,850",,,,,,,,,,
,,Bi pembelian material tgl 17/01/2026- 1pcs isolasi national @ 8.000,Material,,"8,000","1,021,850",,,,,,,,,,
,,Bi pembelian material tgl 17/01/2026- 3pcs kem kabel bmm @ 5.000,Material,,"15,000","1,006,850",,,,,,,,,,
,,Bi pembelian material tgl 17/01/2026- 1pcs klem kabu 7m @ 6.000,Material,,"6,000","1,000,850",,,,,,,,,,
,,Bi pembelian material tgl 17/01/2026- 1pcs opp merah @ 30.000,Material,,"30,000","970,850",,,,,,,,,,
,,Bi pembelian material tgl 17/01/2026- 10pcs clam 7mm @ 7.000,Material,,"70,000","900,850",,,,,,,,,,
,,Bi pembelian material tgl 17/01/2026- 10pcs isolasi @ 6.000,Material,,"60,000","840,850",,,,,,,,,,
,,Bi pembelian material tgl 17/01/2026- 1pcs tie 200 @ 13.000,Material,,"13,000","827,850",,,,,,,,,,
,,Bi pembelian material tgl 17/01/2026- 1pcs tie 250 @ 16.000,Material,,"16,000","811,850",,,,,,,,,,
,,Bi pembelian material tgl 17/01/2026- barrel@ 300.000,Material,,"300,000","511,850",,,,,,,,,,
,17,"Bi BBM  AG 4129 YAX tgl 16/01/2026 ltr 2.4 maintance rest area, karangploso",Transportasi,,"29,760","482,090",,,,,,,,,,
,,Bi BBM N 2109 EFD km 428638 tgl 17/01/2026 ltr 1.5 maintance lawang,Transportasi,,15000,"467,090",,,,,,,,,,
,,Bi BBM N 4064 EDL km 0 tgl 17/01/2026 ltr 2.5 maintance comboran,Transportasi,,"25,000","442,090",,,,,,,,,,
,,Bi BBM N 2110 EFD km 392196 tgl 17/01/2026 ltr 3.0 maintance comboran,Transportasi,,"30,000","412,090",,,,,,,,,,
,,Bi BBM N 2109 EFD km 428844 tgl 17/01/2026 ltr 1.5 maintance karangploso,Transportasi,,"15,000","397,090",,,,,,,,,,
,,Bi BBM M 5687 CP km 469218 tgl 17/01/2026 ltr 1.5 maintance karangploso,Transportasi,,"15,000","382,090",,,,,,,,,,
,,Bi BBM N 1124 IC ltr 10.0 ke batu         ,perjalanan bisnis,,"100,000","282,090",,,,,,,,,,
,,Bi BBM N 2418 XBI km 594211 tgl 17/01/2026 ltr 1.5 IKR Lawang,IKR Lawang,,"15,000","267,090",,,,,,,,,,
,,Bi transportasi IKR Lawang tgl 17/01/2026,IKR Lawang,,"25,000","242,090",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 17/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","98,090",,,,,,,,,,
,,Bi untuk konsumsi perjalanan bisnis batu tgl 17/01/2026            ,konsumsi,,"371,700","-273,610",,,,,,,,,,
,,Bi pembayaran kursi dan badminton ke budida tgl 17/01/2026,lain-lain,,"313,000","-586,610",,,,,,,,,,
19-Jan-26,18,Dana Masuk Operasional,dana masuk,2000000,,"1,413,390",,,,,,,,,,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 18/01/2026,Listrik Kantor,,"203,000","1,210,390",,,,,,,,,,
,,Bi parkir N 2821  Bank Mandiri Singosari tgl 19/01/2026,Transportasi,,"2,000","1,208,390",,,,,,,,,,
,,"Bi BBM N 2821 TEO  km 371205 tgl 19/01/2026 ltr 1.5 ke Lawang,singosari",Transportasi,,"15,000","1,193,390",,,,,,,,,,
,,Bi BBM M 5687 CP km 469899 tgl 19/01/2026 ltr 1.2 ke martopuro,Transportasi,,"15,000","1,178,390",,,,,,,,,,
,,Bi transportasi IKR Lawang tgl 19/01/2026,IKR Lawang,,"26,000","1,152,390",,,,,,,,,,
,,Bi BBM N 1195 FV ltr 15.0 meeting surabaya,perjalanan bisnis,,"150,000","1,002,390",,,,,,,,,,
,,Bi untuk pembayaran etol  6032982511875120 tgl 19/01/2026 meeting ke surabaya         ,Perjalanan Dinas,,"101,500","900,890",,,,,,,,,,
,,Bi untuk konsumsi perjalanan bisnis surabaya tgl 19/01/2026            ,Perjalanan Dinas,,"267,500","633,390",,,,,,,,,,
,,Bi pembelian material tgl 19/12/2026- 2pcs Te @ 7.000,Material,,"14,000","619,390",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 19/01/2026 - 1pcs idm f/t 2ply @ 24.500,Rumah Tangga,,"24,500","594,890",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 19/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","450,890",,,,,,,,,,
,,Bi pembayaran operasional ke batu dan badminton ke budida tgl 19/01/2026,lain-lain,,"237,000","213,890",,,,,,,,,,
20-Jan-26,19,Dana Masuk Operasional,dana masuk,2045000,,"2,258,890",,,,,,,,,,
,,Bi transportasi IKR Lawang tgl 20/01/2026,IKR Lawang,,"18,000","2,240,890",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 20/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","2,096,890",,,,,,,,,,
,,Bi untuk perawatan cuci kendaraan N 1195 FV tgl  20/01/2026                                       ,Perawatan Kendaraan,,50000,"2,046,890",,,,,,,,,,
,,Bi BBM N 4559 EGM km 400799 tgl 20/01/2026 ltr 1.5 maintance sentul                  ,Transportasi,,15000,"2,031,890",,,,,,,,,,
,,Bi BBM N 2109 EFD km 430969  tgl 20/01/2026 ltr 3.0 maintance martopuro                   ,Transportasi,,"30,000","2,001,890",,,,,,,,,,
21-Jan-26,20,Bi untuk pembelian listrik server sentul idpel 513010410557 tgl 21/01/2026                       ,Listrik Kantor,,"53,000","1,948,890",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 21/01/2026 - 19 karyawan kantor @9.000               ,Konsumsi Kantor,,"171,000","1,777,890",,,,,,,,,,
,,Bi untuk konsumsi rapat dengan pak heri surabaya tgl 21/01/2026                                         ,perjalanan bisnis,,"150,000","1,627,890",,,,,,,,,,
,,Bi BBM N 2114 EFD km 362950 tgl 21/01/2026 ltr 3.0 lawang                                                 ,Transportasi,,"30,000","1,597,890",,,,,,,,,,
,,Bi BBM N 2821 TEO km 372446 tgl 21/01/2026 ltr 2.0                                             ,Transportasi,,"20,000","1,577,890",,,,,,,,,,
,,Bi untuk pembayaran jual laptop tgl 21/01/2026                                                          ,lain-lain,,"500,000","1,077,890",,,,,,,,,,
,,Bi pembelian material tgl 21/01/2026- 1pcs  hit spay lily  @ 28.000                         ,Material,,"28,000","1,049,890",,,,,,,,,,
,,diskon pembelanjaan,diskon,2100,,"1,051,990",,,,,,,,,,
,,Bi BBM N 2113 EFD km 471141 tgl 21/01/2026 ltr 3.0 maintance sentul                     ,Transportasi,,"30,000","1,021,990",,,,,,,,,,
,,Bi BBM N 2110 EFD km 393384 tgl 21/01/2026 ltr 3.0 maintance blimbing                        ,Transportasi,,"30,000","991,990",,,,,,,,,,
22-Jan-26,21,Bi untuk pembelian rumah tangga tgl 22/01/2026 - 1pcs idm ktg plastik @ 300,Rumah Tangga,,300,"991,690",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 22/01/2026 - 1pcs mama/L jeruk @ 10.600,Rumah Tangga,,"10,600","981,090",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 22/01/2026 - 1pcs neo/cf mchno @ 10.800,Rumah Tangga,,"10,800","970,290",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 22/01/2026 - 1pcs t/c kpi ss gl.arn @ 11.400,Rumah Tangga,,11400,"958,890",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 22/01/2026 - 1pcs lwk kopi murni@ 20.400,Rumah Tangga,,20400,"938,490",,,,,,,,,,
,,diskon pembelanjaan,diskon,8800,,"947,290",,,,,,,,,,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 22/01/2026               ,Listrik Kantor,,"203,000","744,290",,,,,,,,,,
,,Bi pembelian material tgl 20/01/2026- 1pcs 2F4E PCB @ 65.000,Material,,"65,000","679,290",,,,,,,,,,
,,Bi pembelian material tgl 20/01/2026- 1pcs adaptor 5v kecil  @ 15.000,Material,,"15,000","664,290",,,,,,,,,,
,,Bi pembelian material tgl 22/01/2026- 1kg thinner bintang  @ 19.600               ,Material,,"19,600","644,690",,,,,,,,,,
,,diskon pembelanjaan,diskon,1372,,"646,062",,,,,,,,,,
,,"Bi pembelian material tgl 22/01/2026- 3m nymhy 2x1,5 @ 9.500                              ",Material,,"28,500","617,562",,,,,,,,,,
,,Bi pembelian material tgl 22/01/2026- 1pcs s/c lg.5  @ 26.000,Material,,"26,000","591,562",,,,,,,,,,
,,Bi pembelian material tgl 22/01/2026- 1pcs steker brolo @ 13.000,Material,,"13,000","578,562",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 22/01/2026 - 19 karyawan kantor @9.000                ,Konsumsi Kantor,,"171,000","407,562",,,,,,,,,,
,,Bi BBM N 2109 EFD km 431734 tgl 21/01/2026 ltr 3.0 maintance martopuro                        ,Transportasi,,"30,000","377,562",,,,,,,,,,
,,Bi BBM N 1195 FV tgl 22/01/2026 ltr 10.0 ,Transportasi,,100000,"277,562",,,,,,,,,,
,,Bi BBM N 2821 TEO km 373600 tgl 22/01/2026 ltr 1.0 lawang,Transportasi,,10000,"267,562",,,,,,,,,,
,,Bi BBM N 2668  km 510409 tgl 21/01/2026 ltr 1.5 maintance sentul,Transportasi,,15000,"252,562",,,,,,,,,,
,,Bi BBM N 2418 XBI km 594211 tgl 22/01/2026 ltr 1.5 IKR lawang ,IKR Lawang,,15000,"237,562",,,,,,,,,,
23-Jan,22,Dana Masuk Operasional,dana masuk,1718000,,"1,955,562",,,,,,,,,,
,,Bi untuk pembelian obat pak budi tgl 23/01/2026,lain-lain,,41000,"1,914,562",,,,,,,,,,
,,Bi BBM N 1124IC km 13023 tgl 23/01/2026 ltr 10.0 ,Transportasi,,100000,"1,814,562",,,,,,,,,,
,,Bi BBM N 1124IC km 13023 tgl 23/01/2026 ltr 10.0 ,Transportasi,,100000,"1,714,562",,,,,,,,,,
,,Bi BBM N 1124IC km 13023 tgl 23/01/2026 ltr 5.0,Transportasi,,50000,"1,664,562",,,,,,,,,,
,,Bi BBM N 2668  km 610409 tgl 23/01/2026 ltr 2.0 maintance karangploso,Transportasi,,20000,"1,644,562",,,,,,,,,,
,,Bi BBM N 2109 EFD  km 432218 tgl 23/01/2026 ltr 1.5 maintance sidodadi,Transportasi,,15000,"1,629,562",,,,,,,,,,
,,"Bi BBM  N 6460 ADR km 918842 tgl 23/01/2026 ltr 2.5 maintaince randu telu, karangploso                                                                                             ",Transportasi,,25000,"1,604,562",,,,,,,,,,
,,Bi transportasi untuk sosialisasi di blandit tgl 23/01/2026,Transportasi,,50000,"1,554,562",,,,,,,,,,
,,Bi transportasi IKR Lawang tgl 23/01/2026,IKR Lawang,,25000,"1,529,562",,,,,,,,,,
,,Bi untuk uang lembur  tim teknisi tgl 23/01/2026,lembur ,,50000,"1,479,562",,,,,,,,,,
,,Bi pembelian material tgl 23/01/2026- 2pcs closure @ 60.000,Material,,120000,"1,359,562",,,,,,,,,,
,,Bi pembelian material tgl 23/01/2026- 1pcs kunci pas 12/13@ 30.000,Material,,30000,"1,329,562",,,,,,,,,,
,,Bi pembelian konsumsi untuk sosialisasi di blandit  tgl 23/01/2026,sosialisasi,,"84,000","1,245,562",,,,,,,,,,
,,Bi pembelian konsumsi untuk maintance blimbing  tgl 23/01/2026,konsumsi,,9500,"1,236,062",,,,,,,,,,
24-Jan-26,23,dana Masuk Operasional,dana masuk,1367000,,"2,603,062",,,,,,,,,,
,,Bi pembelian material tgl 24/01/2026- 1pcs alkes @ 30.000,Material,,"30,000","2,573,062",,,,,,,,,,
,,Bi untuk pembelian listrik server lawang idpel 513010031061 tgl 24/01/2026              ,Listrik server lawang,,"200,000","2,373,062",,,,,,,,,,
,,Bi BBM M 5687 CP km 461354 tgl 24/01/2026 ltr 1.6,Transportasi,,"20,000","2,353,062",,,,,,,,,,
,,Bi BBM N2114 EFD km 364658 tgl 24/01/2026 ltr 3.0 maintance martopuro,Transportasi,,"30,000","2,323,062",,,,,,,,,,
,,Bi BBM N2113 EFD km 394822 tgl 24/01/2026 ltr 3.0 maintance sentul,Transportasi,,"30,000","2,293,062",,,,,,,,,,
,,Bi BBM N 1124IC km 13023 tgl 24/01/2026 ltr 10.0,Transportasi,,"100,000","2,193,062",,,,,,,,,,
,,Bi BBM N 2418 XBI km 594211 tgl 24/01/2026 ltr 1.5 IKR lawang ,IKR Lawang,,15000,"2,178,062",,,,,,,,,,
,,Bi BBM N 3222 KK km 180423 tgl 24/01/2026 ltr 2.0 IKR Blimbing,IKR Blimbing,,20000,"2,158,062",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 24/01/2026 - 19 karyawan kantor @9.000                ,Konsumsi Kantor,,"171,000","1,987,062",,,,,,,,,,
,,Bi untuk pembayaran tagihan FIF no. 851000265423 angsr ke-26 tgl 24/01/2026,Cicilan Motor,,"790,000","1,197,062",,,,,,,,,,
26-Jan-26,24,dana Masuk Operasional,dana masuk,891000,,"2,088,062",,,,,,,,,,
,,Bi untuk operasional pak budi ke malang tgl 25/01/2026,perjalanan bisnis,,"100,000","1,988,062",,,,,,,,,,
,,Bi untuk jenguk ibu dari bpk komisaris tgl 25/01/2026,jenguk,,"150,000","1,838,062",,,,,,,,,,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 24/01/2026              ,Listrik Kantor,,"53,000","1,785,062",,,,,,,,,,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 26/01/2026              ,Listrik Kantor,,"53,000","1,732,062",,,,,,,,,,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 26/01/2026              ,Listrik Kantor,,"203,000","1,529,062",,,,,,,,,,
,,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 26/01/2026,Listrik Server,,"103,000","1,426,062",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 26/01/2026 - 1pcs kopi @ 13.000,Rumah Tangga,,13000,"1,413,062",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 26/01/2026 - 20pcs kotak makan  @ 1.700,Rumah Tangga,,34000,"1,379,062",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 26/01/2026 - tempe @ 10.000,Rumah Tangga,,10000,"1,369,062",,,,,,,,,,
,,Bi pembelian material tgl 26/01/2026- 3pcs solasi national @ 7.000,Material,,21000,"1,348,062",,,,,,,,,,
,,Bi pembelian material tgl 26/01/2026- 1pcs kabel tic @ 15.000,Material,,15000,"1,333,062",,,,,,,,,,
,,Bi pembelian material tgl 26/01/2026- 3pcs klem no.7 @ 3.000,Material,,9000,"1,324,062",,,,,,,,,,
,,Bi untuk pembayaran jasa teknisi indihome tgl 26/01/2026,jasa,,"100,000","1,224,062",,,,,,,,,,
,,Bi untuk fee pemasangan baru (psb) riski tgl 26/01/2026,fee,,"75,000","1,149,062",,,,,,,,,,
,,Bi BBM N 2109 EFD  km 433206 tgl 26/01/2026 ltr 1.5,Transportasi,,"15,000","1,134,062",,,,,,,,,,
,,Bi BBM N 3222 KK km 180425 tgl 26/01/2026 ltr 1.5 maintance lawang,Transportasi,,"15,000","1,119,062",,,,,,,,,,
,,Bi BBM P 2616 UC km 433206 tgl 26/01/2026 ltr 2.0 comboran,Transportasi,,"20,000","1,099,062",,,,,,,,,,
,,Bi pembelian konsumsi untuk rapat dengan pak heri tgl 26/01/2026,konsumsi,,"81,000","1,018,062",,,,,,,,,,
,,dana Masuk Operasional,dana masuk,1515000,,"2,533,062",,,,,,,,,,
,,Bi untuk perawatan  kendaraan service ganti ban  tgl 26/01/2026,Perawatan Kendaraan,,"50,000","2,483,062",,,,,,,,,,
,,Bi untuk konsumsi lembur dan iforte tgl 26/01/2026,lain-lain,,"224,000","2,259,062",,,,,,,,,,
27-Jan-26,25,Bi pembelian material tgl 27/01/2026- 1pack kabel tic @ 15.000,Material,,"15,000","2,244,062",,,,,,,,,,
,,Bi pembelian material tgl 27/01/2026- 3pcs solasi national @ 7.000,Material,,"21,000","2,223,062",,,,,,,,,,
,,Bi pembelian material tgl 27/01/2026- 1pcs 2F4E PCB @ 65.000,Material,,"65,000","2,158,062",,,,,,,,,,
,,Bi pembelian material tgl 27/01/2026- 1pcs adaptor 5V @ 15.000,Material,,"15,000","2,143,062",,,,,,,,,,
,,Bi pembelian material tgl 27/01/2026- 1pcs patchcore @ 20.000,Material,,"20,000","2,123,062",,,,,,,,,,
,,Bi pembelian material tgl 27/01/2026- 1pcs adaptor 5V kecil @ 15.000,Material,,15000,"2,108,062",,,,,,,,,,
,,Bi pembelian material tgl 27/01/2026- 1pcs adaptor 5V kotak @ 15.000,Material,,"15,000","2,093,062",,,,,,,,,,
,,"Bi pembelian material tgl 27/01/2026- 2pcs patch core 1m,2m @ 8.000",Material,,"16,000","2,077,062",,,,,,,,,,
,,Bi pembelian material tgl 27/01/2026- 2pcs netlink A-B @ 170.000,Material,,"170,000","1,907,062",,,,,,,,,,
,,Bi pembelian material tgl 27/01/2026- 2pcs 2F4E PCB @ 65.000,Material,,"130,000","1,777,062",,,,,,,,,,
,,diskon pembelanjaan,diskon,1000,,"1,778,062",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 2rtg kapal mini@ 10.000,Rumah Tangga,,20000,"1,758,062",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1kg  gula @ 17.000,Rumah Tangga,,"17,000","1,741,062",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1pcs samsu ref 12 @ 23.000,Rumah Tangga,,"23,000","1,718,062",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1rtg top aren @ 17.500,Rumah Tangga,,"17,500","1,700,562",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1rtg top ovo@ 17.500,Rumah Tangga,,"17,500","1,683,062",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1pcs hand sntizer@ 13.000,Rumah Tangga,,"13,000","1,670,062",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1pcs f/t 2ply @ 24.000,Rumah Tangga,,"24,000","1,646,062",,,,,,,,,,
,,Bi untuk konsumsi tamu tgl 27/01/2026,tamu,,"69,000","1,577,062",,,,,,,,,,
,26,dana Masuk Operasional  1524000+800000,dana masuk,2324000,,"3,901,062",,,,,,,,,,
,,Bi untuk pembayaran jasa tukang pemasangan walldrove tgl 27/01/2026,jasa,,"500,000","3,401,062",,,,,,,,,,
,,Bi BBM N 2113 EFD km 474773 tgl 27/01/2026 ltr 1.5 IKR lawang ,IKR Lawang,,15000,"3,386,062",,,,,,,,,,
,,Bi BBM N 1195 FV tgl 27/01/2026 ltr 10.0 ,Transportasi,,100000,"3,286,062",,,,,,,,,,
,,Bi BBM N 2109 EFD km 433842 tgl 27/01/2026 ltr 3.0 maintance kertosari ,Transportasi,,"30,000","3,256,062",,,,,,,,,,
,,Bi BBM N 3222 KK km 180425 tgl 27/01/2026 ltr 1.5 maintance lawang,Transportasi,,"15,000","3,241,062",,,,,,,,,,
,,"Bi BBM AG 4129 YAX km 0 tgl 27/01/2026 ltr 3.0 maintance sentul,martopuro",Transportasi,,"30,000","3,211,062",,,,,,,,,,
,,Bi BBM N 2110 EFD km 396830 tgl 27/01/2026 ltr 2.5 maintance martopuro ,Transportasi,,"25,000","3,186,062",,,,,,,,,,
,,Bi BBM N 1124 IC tgl 27/01/2026 ltr 20.0 maintance blitar,Transportasi,,200000,"2,986,062",,,,,,,,,,
,,Bi untuk konsumsi maintance blitar tgl 27/01/2026,konsumsi,,68300,"2,917,762",,,,,,,,,,
,,diskon pembelanjaan,diskon,3700,,"2,921,462",,,,,,,,,,
,,Bi untuk pembayaran tagihan FIF no. 851000265523 angsr ke-26 tgl 27/01/2026,Cicilan Motor,,800000,"2,121,462",,,,,,,,,,
28-Jan,27,dana Masuk Operasional,dana masuk,700000,,"2,821,462",,,,,,,,,,
,,Bi BBM N 2114 EFD km 368539 tgl 28/01/2026 ltr 3.0 maintance lawang ,Transportasi,,30000,"2,791,462",,,,,,,,,,
,,Bi BBM N 2821 TEO km 376510 tgl 28/01/2026 ltr 1.0  lawang ,Transportasi,,10000,"2,781,462",,,,,,,,,,
,,Bi BBM N 4976 FW km 59990 tgl 28/01/2026 ltr 1.0 ,Transportasi,,10000,"2,771,462",,,,,,,,,,
,,Bi BBM N 3222 KK km 180423 tgl 28/01/2026 ltr 1.5 maintance lawang,Transportasi,,15000,"2,756,462",,,,,,,,,,
,,Bi BBM N 2668 GM km 510409 tgl 28/01/2026 ltr 1.5 maintance sentul,Transportasi,,15000,"2,741,462",,,,,,,,,,
,,"Bi BBM N 2110 EFD km 3997551 tgl 28/01/2026 ltr 3.0 maintance  arjosari, alamhijau",Transportasi,,30000,"2,711,462",,,,,,,,,,
,,"Bi BBM N 4559 EGM  km 401999 tgl 27/01/2026 ltr 2.0 maintance  martopuro,bantaran",Transportasi,,20000,"2,691,462",,,,,,,,,,
,,Bi parkir N 2821 TEO Bank Mandiri Singosari tgl 28/01/2026,Transportasi,,"2,000","2,689,462",,,,,,,,,,
,,Bi BBM N 2418 YBI km 0 tgl 28/01/2026 ltr 1.5 IKR Lawanng,IKR Lawang,,15000,"2,674,462",,,,,,,,,,
,,Bi untuk pembayaran fee sales tim IKR Lawang unsur14 orang 28/01/2026,fee,,350000,"2,324,462",,,,,,,,,,
,,Bi pembelian material tgl 28/01/2026- 1pcs R-B biru 4s @ 18.000,Material,,18000,"2,306,462",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 27-28/01/2026 - 20 karyawan kantor             ,Konsumsi Kantor,,216000,"2,090,462",,,,,,,,,,
,,Bi untuk konsumsi lembur tim NOC tgl 28/01/2026,konsumsi,,264000,"1,826,462",,,,,,,,,,
29-Jan-26,28,dana masuk operasional,dana masuk,1101000,,"2,927,462",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 29/01/2026 - 20 karyawan kantor             ,Konsumsi Kantor,,100000,"2,827,462",,,,,,,,,,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 28/01/2026              ,Listrik Kantor,,203000,"2,624,462",,,,,,,,,,
,,Bi pembelian material tgl 29/01/2026- 5pcs paku klem @ 3.000,Material,,"15,000","2,609,462",,,,,,,,,,
,,Bi pembelian material tgl 29/01/2026- 3pcs solasi national @ 7.000,Material,,21000,"2,588,462",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 29/01/2026 - 1pcs isi ulang bio @ 6.000,Rumah Tangga,,"6,000","2,582,462",,,,,,,,,,
,,Bi untuk pembayaran sisa tagihan FIF no.851000267823 angsr ke-26 tgl 29/01/2026,Cicilan Motor,,"7,000","2,575,462",,,,,,,,,,
,,Bi BBM M 2369 AI km 544338 tgl 29/01/2026 ltr 2.0 maintance rest area ,Transportasi,,20000,"2,555,462",,,,,,,,,,
,,Bi BBM N 4559 EGM km 402599  tgl 29/01/2026 ltr 1.5 maintance temenggungan ,Transportasi,,15000,"2,540,462",,,,,,,,,,
,,Bi BBM N 2109 EFD km 436024  tgl 29/01/2026 ltr 1.5 IKR Lawang,IKR Lawang,,15000,"2,525,462",,,,,,,,,,
,,Bi untuk perawatan  kendaraan service ban N 2114 EFD  tgl 29/01/2026,Perawatan Kendaraan,,20000,"2,505,462",,,,,,,,,,
,,Bi untuk  konsumsi operasional pakk budi ke batu tgl 29/01/2026,perjalanan bisnis,,59000,"2,446,462",,,,,,,,,,
30-Jan,29,dana masuk operasional ,dana masuk,1134000,,"3,580,462",,,,,,,,,,
,,Bi BBM N2418 XBI km 594211 tgl 29/01/2026 ltr 1.5 IKR Lawang,IIKR Lawang,,15000,"3,565,462",,,,,,,,,,
,,Bi BBM N 3281 GG  km551276 tgl 29/01/2026 ltr 1.5 IKR Lawang,IIKR Lawang,,15000,"3,550,462",,,,,,,,,,
,,"Bi BBM N 2760 ABO km 51027 tgl 30/01/2026 ltr 3.0 maintance martopuro, randuagung",Transportasi,,30000,"3,520,462",,,,,,,,,,
,,Bi BBM N 2109 km 436037 tgl 30/01/2026 ltr 2.0,Transportasi,,20000,"3,500,462",,,,,,,,,,
,,Bi BBM N1124 IC km 13729 tgl 30/01/2026 ltr 10.0,Transportasi,,100000,"3,400,462",,,,,,,,,,
,,Bi BBM N 2821 TEO km 3746442 tgl 30/01/2026 ltr 1.0  lawang ,Transportasi,,20000,"3,380,462",,,,,,,,,,
,,Bi BBM N 2110 km 398018 tgl 30/01/2026 ltr 2.0 maintance bumiayu,Transportasi,,20000,"3,360,462",,,,,,,,,,
,,"Bi BBM N 2109 km 436820 tgl 30/01/2026 ltr 2.0 maintance bumiayu, tidar",Transportasi,,20000,"3,340,462",,,,,,,,,,
