,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,
Periode 01-31 Maret 2026,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,Kategori, Penerimaan , Pengeluaran ,Saldo,,,Kategori,SUM of  Pengeluaran ,SUM of  Penerimaan 
04-maret,3,Bi untuk pembelian rumah tangga tgl 04/03/2026- 1pcs kresek merah@ 30.000,Rumah Tangga,,"30,000","2,207,925",,,,,
05-maret,4,dana Masuk Operasional,,1500000,,"3,707,925",,,,,
05-maret,4,Bi pembelian material tgl 05/03/2026- 1pcs CON PEN 12 @ 33.000,Material,,"33,000","3,674,925",,,,,
05-maret,4,diskon pembelian,diskon,,"-1,100","3,676,025",,,,,
05-maret,4,Bi pembelian material tgl 05/03/2026- 1pcs kabel 1c vezalink @ 580.000,Material,,"580,000","3,096,025",,,,,
05-maret,4,Bi pembelian material tgl 05/03/2026- 5pcs modem f663nv9+adaptor @ 125.000,Material,,"625,000","2,471,025",,,,,
05-maret,4,diskon pembelian,diskon,,"-10,000","2,481,025",,,,,
05-maret,4,Bi pembelian material tgl 05/03/2026- 11pcs Ap 120 1 sisi A3 @ 30.000,Material,,"30,000","2,451,025",,,,,
05-maret,4,"Bi BBM N 2110 EFD km 415840 tgl 05/03/2026 ltr 1.0  maintance randu telu,ardimulyo                       ",transportasi,,"10,000","2,441,025",,,,,
05-maret,4,Bi BBM N 2113 EFD km 49610 tgl 05/03/2026 ltr 2.0 lawang                   ,transportasi,,"20,000","2,421,025",,,,,
05-maret,4,Bi BBM N 5106 HO km 276841 tgl 05/03/2026 ltr 1.0  maintance bedali                ,transportasi,,"10,000","2,411,025",,,,,
05-maret,4,Bi BBM N 2821 TEO km 3950150 tgl 05/03/2026 ltr 1.0  singosari              ,transportasi,,"10,000","2,401,025",,,,,
05-maret,4,Bi BBM N 4559 EGM km 502520 tgl 05/03/2026 ltr 1.5 maintance songsong              ,transportasi,,"15,000","2,386,025",,,,,
05-maret,4,Bi BBM N 3346 ABF km 686436 tgl 05/03/2026 ltr 1.5 maintance songsong              ,transportasi,,"15,000","2,371,025",,,,,
05-maret,4,Bi BBM N 2113 EFD km 456497 tgl 05/03/2026 ltr 2.5       ,transportasi,,"25,000","2,346,025",,,,,
05-maret,4,Bi BBM N 1124 IC km 0 tgl 05/03/2026 ltr 10.0  ,transportasi,,"100,000","2,246,025",,,,,
05-maret,4,Bi parkir N 2821 TEO Bank Mandiri Singosari tgl 05/03/2026,transportasi,,"2,000","2,244,025",,,,,
05-maret,4,Bi penyebrangan operasional batu tgl 05/03/2026,transportasi,,"2,000","2,242,025",,,,,
05-maret,4,Bi pembelian ATK tgl 05/02/2026- 2pcs kwitansi @ 3.500,ATK,,"7,000","2,235,025",,,,,
05-maret,4,Bi untuk konsumsi operasional batu 05/03/2026,konsumsi,,"78,900","2,156,125",,,,,
05-maret,4,Bi untuk konsumsi pendataan survei redline starlite lawang tgl 05/03/2026,konsumsi,,"57,000","2,099,125",,,,,
06-maret,5,Bi untuk pembelian pulsa no NOC surya 08123339555084 tgl 06/02/2026,pulsa,,"52,000","2,047,125",,,,,
06-maret,5,Bi untuk pembelian pulsa no NOC adimas 081331615537 tgl 06/02/2026,pulsa,,"52,000","1,995,125",,,,,
06-maret,5,Bi untuk pembelian rumah tangga tgl 06/03/2026 - 3pcs oxy@ 12.000,Rumah Tangga,,"36,000","1,959,125",,,,,
06-maret,5,Bi untuk pembelian rumah tangga tgl 06/03/2026- 1pcs idm f/t 2ply @ 22.500,Rumah Tangga,,"22,500","1,936,625",,,,,
06-maret,5,Bi untuk pembelian rumah tangga tgl 06/03/2026- 1pcs gmp gula pasir @ 17.500,Rumah Tangga,,"17,500","1,919,125",,,,,
06-maret,5,Bi untuk pembelian rumah tangga tgl 06/03/2026- 2pcs pikopi gula aren @ 12.600,Rumah Tangga,,"25,200","1,893,925",,,,,
06-maret,5,Bi untuk pembelian rumah tangga tgl 06/03/2026- 2pcs lwk kopi murni @ 10.200,Rumah Tangga,,"20,400","1,873,525",,,,,
06-maret,5,Bi untuk pembelian rumah tangga tgl 06/03/2026- 1pcs noe/c crml.mc @ 10.800,Rumah Tangga,,"10,800","1,862,725",,,,,
06-maret,5,Bi untuk pembelian rumah tangga tgl 06/03/2026- 1pcs idm ktg plstk@ 300,Rumah Tangga,,300,"1,862,425",,,,,
06-maret,5,diskon pembelian,diskon,,"-7,800","1,870,225",,,,,
06-maret,5,Bi untuk pembayaran fee psb pelanggan tgl 06/03/2026,fee,,50000,"1,820,225",,,,,
06-maret,5,Bi BBM N 2114 EFD km 386856 tgl 02/03/2026 ltr 2.0 maintance tutur  ,transportasi,,20000,"1,800,225",,,,,
06-maret,5,Bi BBM N 2110 EFD km 616288 tgl 06/03/2026 ltr 1.0 maintance bedali       ,transportasi,,10000,"1,790,225",,,,,
06-maret,5,"Bi BBM N 3346 ABF km 687021 tgl 06/03/2026 ltr 1.5 maintance gondang,garuda       ",transportasi,,"15,000","1,775,225",,,,,
06-maret,5,Bi BBM N 2821  km 399878 tgl 06/03/2026 ltr 1.0 maintance lawang    ,transportasi,,"10,000","1,765,225",,,,,
06-maret,5,Bi BBM N 2113 EFD km 483864 tgl 06/03/2026 ltr 1.5 maintance yonkav,transportasi,,"15,000","1,750,225",,,,,
06-maret,5,Bi BBM N 4559 EGM km 512510 tgl 06/03/2026 ltr 1.5 maintance gondang,transportasi,,"15,000","1,735,225",,,,,
06-maret,5,Bi pembelian material tgl 06/03/2026- 0.2kg kawat BWG 16 @ 10.000,Material,,"10,000","1,725,225",,,,,
06-maret,5,Bi pembelian material tgl 06/03/2026- 1pcs setarluk@ 15.000,Material,,"15,000","1,710,225",,,,,
07-maret,6,DAna Masuk Operasional,dana masuk,1000000,,"2,710,225",,,,,
07-maret,6,Bi pembelian material tgl 07/03/2026- 1pcs baterai kotak 9 v @ 13.500,Material,,"13,500","2,696,725",,,,,
07-maret,6,Bi pembelian material tgl 07/03/2026- 12pcs paku beton  @ 600,Material,,"7,200","2,689,525",,,,,
07-maret,6,Bi pembelian material tgl 07/03/2026- 3pcs siku rak 10x12 @ 6.500,Material,,"19,500","2,670,025",,,,,
07-maret,6,Bi pembelian material tgl 07/03/2026- 5pcs  modem f663nv9 @ 120.000,Material,,"600,000","2,070,025",,,,,
07-maret,6,Bi pembelian material tgl 07/03/2026- 4pcs modem f663nv9+ adaptor @ 125.000,Material,,"500,000","1,570,025",,,,,
07-maret,6,Bi pembelian material tgl 07/03/2026- 5pcs solasi  @ 6.000,Material,,"30,000","1,540,025",,,,,
07-maret,6,"Bi pembelian material tgl 07/03/2026- 8pcs patch core 1m,2m @ 5.000",Material,,"40,000","1,500,025",,,,,
07-maret,6,diskon pembelian,diskon,,"-5,000","1,505,025",,,,,
07-maret,6,Bi pembelian ATK tgl 07/02/2026- 4pcs materai @ 11.800,ATK,,"47,200","1,457,825",,,,,
07-maret,6,"Bi BBM N 2114 EFD km 968712 tgl 28/02/2026 ltr 1.5 maintance malang,kunci, arjosari",transportasi,,"15,000","1,442,825",,,,,
07-maret,6,Bi BBM N 1195 FV km 0 tgl 06/03/2026 ltr 15.0,transportasi,,"150,000","1,292,825",,,,,
07-maret,6,Bi BBM N 1124 IC km 0 tgl 06/03/2026 ltr 10.0                                     ,transportasi,,"100,000","1,192,825",,,,,
07-maret,6,"Bi BBM N 6840 ZED km 684345 tgl 07/03/2026 ltr 1.5 maintance srigading,jatisari",transportasi,,"15,000","1,177,825",,,,,
07-maret,6,Bi BBM N 2668 GM km510469  tgl 07/03/2026 ltr 1.6 maintance karangploso,transportasi,,"20,000","1,157,825",,,,,
07-maret,6,Bi BBM N 2110 EFD  km 418871 tgl 07/03/2026 ltr 1.2 maintance lawang,transportasi,,"15,080","1,142,745",,,,,
07-maret,6,Bi BBM N 2418 YBI  km 594211 tgl 07/03/2026 ltr 1.5 maintance lawang,transportasi,,"15,000","1,127,745",,,,,
07-maret,6,Bi BBM N 2114 EFD km 387082 tgl 07/02/2026 ltr 0.8 maintance bedali,transportasi,,"10,060","1,117,685",,,,,
07-maret,6,Bi pembayaran fee untuk merapikan gudang atas tgl 07/02/2026,lain-lain,,"150,000","967,685",,,,,
09-maret,7,Dana Masuk Operasional,dana masuk,1500000,,"2,467,685",,,,,
09-maret,7,Bi pembelian material tgl 08/03/2026- 4pcs  klim kabel  @ 5.000,Material,,"20,000","2,447,685",,,,,
09-maret,7,"Bi BBM N 2109 EFD  km 451257 tgl 07/03/2026 ltr 2.0 lawang, rest area",transportasi,,"20,000","2,427,685",,,,,
09-maret,7,Bi BBM N 1124 IC km 0 tgl 09/03/2026 ltr 20.0                       ,transportasi,,"200,000","2,227,685",,,,,
09-maret,7,Bi BBM N 2110 EFD  km 417707 tgl 09/03/2026 ltr 1.0 maintance suko,transportasi,,"10,000","2,217,685",,,,,
09-maret,7,Bi BBM N 3346 ABF  km 688043 tgl 09/03/2026 ltr 2.0 maintance rest area,transportasi,,"20,000","2,197,685",,,,,
09-maret,7,Bi BBM N 2668 GM  km 510489 tgl 09/03/2026 ltr 2.0 maintance rest area,transportasi,,"20,000","2,177,685",,,,,
09-maret,7,Bi BBM N 6840 GE  km 685354 tgl 09/03/2026 ltr 1.5 maintance rest area,transportasi,,"15,000","2,162,685",,,,,
09-maret,7,Bi BBM N 2760 ABO km 522045 tgl 09/03/2026 ltr 3.0 maintance karangploso,transportasi,,"30,000","2,132,685",,,,,
09-maret,7,Bi untuk operasional rapat dengan komisaris di malang tgl 09/03/2026,perjalanan bisnis,,"100,000","2,032,685",,,,,
09-maret,7,Bi untuk pembayaran ongkos kirim ke surge plaza jakarta tgl 07/03/2026,ongkir,,"10,200","2,022,485",,,,,
09-maret,7,Bi untuk konsumsi pendataan survei redline starlite lawang tgl 07/03/2026,konsumsi,,"40,000","1,982,485",,,,,
10-maret,8,Bi pembelian material tgl 10/03/2026- 3pcs paku beton @ 5.000,Material,,"15,000","1,967,485",,,,,
10-maret,8,Bi pembelian material tgl 10/03/2026- 3pcs solasi national  @ 7.500,Material,,"22,500","1,944,985",,,,,
10-maret,8,Bi pembelian material tgl 10/03/2026- 6pcs clam 6cm  @ 10.000,Material,,"60,000","1,884,985",,,,,
10-maret,8,Bi pembelian material tgl 10/03/2026- 10pcs isolasi  @ 6.000,Material,,"60,000","1,824,985",,,,,
10-maret,8,Bi untuk pembelian listrik server polaman idpel 502206440200 tgl 10/03/2026,Listrik Polaman,,"54,000","1,770,985",,,,,
10-maret,8,Bi untuk pembayaran ongkos kirim ke kantor persada jakarta tgl 10/03/2026,ongkir,,"12,900","1,758,085",,,,,
10-maret,8,Bi untuk pembelian rumah tangga tgl 10/03/2026- 1pcs super sol sereh  @ 16.500,Rumah Tangga,,16500,"1,741,585",,,,,
10-maret,8,Bi untuk pembelian rumah tangga tgl 10/03/2026- 1pcs ekonomi lq.sereh@ 9.500,Rumah Tangga,,9500,"1,732,085",,,,,
10-maret,8,Bi untuk pembelian rumah tangga tgl 10/03/2026- 2pcs materai 10.000  @ 11.500,Rumah Tangga,,23000,"1,709,085",,,,,
10-maret,8,Bi untuk pembelian rumah tangga tgl 10/03/2026- 1pcs idm ktg plstk  @ 300,Rumah Tangga,,300,"1,708,785",,,,,
10-maret,8,diskon pembelian,diskon,,-8200,"1,716,985",,,,,
10-maret,8,Bi untuk perawatan  kendaraan tambal ban N 2114 EFD tgl 09/03/2026,perawatan kendaraan ,,15000,"1,701,985",,,,,
10-maret,8,Bi untuk perawatan  kendaraan tambal ban N 2114 EFD tgl 10/03/2026,perawatan kendaraan ,,15000,"1,686,985",,,,,
10-maret,8,Bi BBM N 2113 EFD km 29889 tgl 08/03/2026 ltr 1.5 maintance lawang,transportasi,,15000,"1,671,985",,,,,
10-maret,8,Bi BBM N 3346 ABF  km 689101 tgl 10/03/2026 ltr 2.0 maintance karangploso,transportasi,,20000,"1,651,985",,,,,
10-maret,8,"Bi BBM N 6840 GE  km 68110 tgl 10/03/2026 ltr 1.5 maintance rest area, suko",transportasi,,15000,"1,636,985",,,,,
10-maret,8,Bi BBM N 2114 EFD km 378570 tgl 10/03/2026 ltr 1.5 maintance jatisari,transportasi,,15000,"1,621,985",,,,,
11-maret,9,Dana Masuk Operasional,dana masuk,1000000,,"2,621,985",,,,,
11-maret,9,"Bi BBM N 6840 GE km 568781 tgl 10/03/2026 ltr 2.0 maintance malang, alap-alap",transportasi,,20000,"2,601,985",,,,,
11-maret,9,Bi BBM N 2110 EFD km 420129 tgl 10/03/2026 ltr 1.5 ,transportasi,,15000,"2,586,985",,,,,
11-maret,9,"Bi BBM N 2113 EFD km 499862 tgl 11/03/2026 ltr 1.5 maintance malang,alap-alap",transportasi,,20000,"2,566,985",,,,,
11-maret,9,Bi BBM N 2760 ABO km 526078 tgl 11/03/2026 ltr 3.0 maintance lawang,transportasi,,30000,"2,536,985",,,,,
11-maret,9,Bi parkir N 2821 TEO Bank Mandiri Singosari tgl 11/03/2026,transportasi,,2000,"2,534,985",,,,,
11-maret,9,Bi untuk pembelian ATK tgl 11/03/2026 - 10pcs materai @ 10.000,ATK,,100000,"2,434,985",,,,,
11-maret,9,Bi pembelian material tgl 11/03/2026- 1pcs Dc Tj 4 core  @ 950.000,Material,,950000,"1,484,985",,,,,
11-maret,9,Bi pembelian material tgl 11/03/2026- 1pcs joint closure inline 12core @ 50.000,Material,,100000,"1,384,985",,,,,
11-maret,9,Bi pembelian material tgl 11/03/2026- 1ktk paku beton putih @ 12.000,Material,,12000,"1,372,985",,,,,
11-maret,9,Bi pembelian material tgl 11/03/2026- 1pcs gergaji besi   @ 20.000,Material,,20000,"1,352,985",,,,,
11-maret,9,Bi untuk perawatan  kendaraan service N 2114 EFD tgl 10/03/2026,perawatan kendaraan ,,380000,"972,985",,,,,
11-maret,9,Bi untuk pembayaran ongkos kirim ke surge plaza jakarta tgl 11/03/2026,ongkir,,12900,"960,085",,,,,
12-maret,10,dana Masuk Operasional,dana masuk,1500000,,"2,460,085",,,,,
12-maret,10,Bi BBM N 2110 EFD  km 419190 tgl 12/03/2026 ltr 1.0 singosari,transportasi,,10000,"2,450,085",,,,,
12-maret,10,Bi BBM N 2109 EFD  km 459369 tgl 12/03/2026 ltr 1.0 srigading,transportasi,,10000,"2,440,085",,,,,
12-maret,10,Bi BBM N 2110 EFD  km 41984 tgl 12/03/2026 ltr 1.0 maintance tutur,transportasi,,12000,"2,428,085",,,,,
12-maret,10,"Bi BBM N 2668 GM km 41989 tgl 12/03/2026 ltr 2.0 maintance garuda, gondang",transportasi,,20000,"2,408,085",,,,,
12-maret,10,"Bi BBM N 6840 GE  km 589762 tgl 12/03/2026 ltr 1.5 maintance garuda, gondang",transportasi,,15000,"2,393,085",,,,,
12-maret,10,Bi parkir N 2110 EFD Bank Mandiri Singosari tgl 12/03/2026,transportasi,,2000,"2,391,085",,,,,
12-maret,10,Bi parkir N 2113 EFD  evergreen lawang tgl 12/03/2026,transportasi,,2000,"2,389,085",,,,,
12-maret,10,Bi pembelian material tgl 12/03/2026- 2pcs xpon f663nv3a  @ 120.000,Material,,240000,"2,149,085",,,,,
12-maret,10,Bi pembelian material tgl 12/03/2026- 2pcs adaptor 12v  @ 15.000,Material,,30000,"2,119,085",,,,,
12-maret,10,Bi pembelian material tgl 12/03/2026- 0.2kg kawat BWG 16  @ 10.000,Material,,10000,"2,109,085",,,,,
12-maret,10,Bi pembelian material tgl 12/03/2026- 1pcs map AP 120 1 sisi @ 3.000,Material,,3000,"2,106,085",,,,,
12-maret,10,Bi pembelian material tgl 12/03/2026- 1pcs tali rafia @ 22.000,Material,,22000,"2,084,085",,,,,
12-maret,10,Bi untuk pembelian ATK tgl 12/03/2026 - 15pcs kertas Bc @ 500,ATK,,7500,"2,076,585",,,,,
12-maret,10,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 12/03/2026,Listrik Server,,204000,"1,872,585",,,,,
12-maret,10,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 12/03/2026              ,Listrik Kantor,,204000,"1,668,585",,,,,
13-maret,11,Bi BBM N 1124 IC tgl 13/03/2026,transportasi,,200000,"1,468,585",,,,,
13-maret,11,Bi BBM N 2110 EFD  km 420996 tgl 13/03/2026 ltr 2.0 maintance ngadipuro,transportasi,,20000,"1,448,585",,,,,
13-maret,11,Bi BBM N 2114 EFD  km 389087 tgl 13/03/2026 ltr 1.5 maintance tasikmadu,transportasi,,15000,"1,433,585",,,,,
13-maret,11,Bi BBM N 2109 EFD  km 459803 tgl 13/03/2026 ltr 1.0 singosari,transportasi,,10000,"1,423,585",,,,,
13-maret,11,"Bi BBM N 2821 TEO  km 400005 tgl 13/03/2026 ltr 2.0 singosari,lawang,gondang",transportasi,,20000,"1,403,585",,,,,
13-maret,11,Bi BBM N 3346 ABF  km 690926 tgl 13/03/2026 ltr 2.0 maintance rest area,transportasi,,20000,"1,383,585",,,,,
13-maret,11,Bi pembelian material tgl 13/03/2026- 1pcs pentang+ gergaji @ 35.000,Material,,35000,"1,348,585",,,,,
13-maret,11,Bi untuk konsumsi backbone garuda-duta 13/03/2026,konsumsi,,21900,"1,326,685",,,,,
14-maret,12,"Bi BBM N 2113 EFD  km 586721 tgl 14/03/2026 ltr 1.0 maintance lawang,gondang,suko",transportasi,,20000,"1,306,685",,,,,
14-maret,12,Bi BBM N 6840 GE  km 987521 tgl 14/03/2026 ltr 1.0 maintance gondang,transportasi,,10000,"1,296,685",,,,,
14-maret,12,Bi BBM N 2668 GM  km 401068 tgl 14/03/2026 ltr 2.0 maintance mulyoarjo,transportasi,,20000,"1,276,685",,,,,
14-maret,12,Bi BBM N 2113 EFD  km 501293tgl 14/03/2026 ltr 1.5 maintance singosari,transportasi,,15000,"1,261,685",,,,,
14-maret,12,Bi untuk pembelian ATK tgl 14/03/2026 - 5pcs kertas stiker doff @ 1.000,ATK,,5000,"1,256,685",,,,,
14-maret,12,Bi untuk pembelian ATK tgl 14/03/2026 - 5pcs kertas stiker doff @ 1.000,ATK,,5000,"1,251,685",,,,,
14-maret,12,Bi untuk pembayaran etol- 6032982110269972 ke tumpang tgl 14/03/2026,perjalanan bisnis,,10000,"1,241,685",,,,,
14-maret,12,Bi pembelian material tgl 14/03/2026- 2pcs ABC A2@ 7.000,Material,,7000,"1,234,685",,,,,
14-maret,12,Bi pembelian material tgl 14/03/2026- 1pcs joint closure 12 core@ 50.000,Material,,50000,"1,184,685",,,,,
14-maret,12,Bi pembelian material tgl 14/03/2026- 1pcs instance hs100m @ 14.200,Material,,28400,"1,156,285",,,,,
14-maret,12,Bi pembelian material tgl 14/03/2026- 1pcs kp branding @ 200,Material,,200,"1,156,085",,,,,
16-maret,13,dana Masuk Operasional,dana masuk,1000000,,"2,156,085",,,,,
16-maret,13,dana Masuk Operasional,dana masuk,700000,,"2,856,085",,,,,
16-maret,13,"Bi BBM N 2114 EFD  km 506871 tgl 15/03/2026 ltr 1.6 maintance songsong,arjosari",transportasi,,16060,"2,840,025",,,,,
16-maret,13,Bi BBM N 2110 EFD  km 422169 tgl 16/03/2026 ltr 1.0 maintance garuda,transportasi,,10000,"2,830,025",,,,,
16-maret,13,Bi BBM N 2110 EFD  km 41132 tgl 16/03/2026 ltr 1.5 maintance lawang,transportasi,,15000,"2,815,025",,,,,
16-maret,13,Bi BBM N 3346 ABF  km 692269 tgl 16/03/2026 ltr 2.0 maintance lawang,transportasi,,20000,"2,795,025",,,,,
16-maret,13,Bi BBM N 2760 ABO  km 52312 tgl 16/03/2026 ltr 2.01 maintance lawang,transportasi,,20100,"2,774,925",,,,,
16-maret,13,"Bi untuk pembayaran fee IKR Tim SMK Unsur ikr, tarikk backbone,maintance, tgl 16/03/2026",fee,,1500000,"1,274,925",,,,,
16-maret,13,Bi untuk operasional buka bersama dengan rw7 tgl 14/03/2026,lain-lain,,778000,"496,925",,,,,
16-maret,13,Bi pembelian material tgl 16/03/2026- 5pcs xpon-HSAirpo  @ 125.000,Material,,625000,"-128,075",,,,,
16-maret,13,Bi pembelian material tgl 16/03/2026- 2pcs karung jumbo@ 5.000,Material,,10000,"-138,075",,,,,
17-maret,14,dana Masuk Operasional,dana masuk,2500000,,"2,361,925",,,,,
17-maret,14,Bi untuk pembayaran ongkos kirim ke persada jakarta tgl 17/03/2026,ongkir,,12900,"2,349,025",,,,,
17-maret,14,Bi pembelian material tgl 17/03/2026- 3pcs netlink A-B @ 85.000,Material,,255000,"2,094,025",,,,,
17-maret,14,Bi pembelian material tgl 17/03/2026- 1pcs Sc to lc @ 40.000,Material,,40000,"2,054,025",,,,,
17-maret,14,Bi pembelian material tgl 17/03/2026- 3pcs 2f4e + adaptor @ 75.000,Material,,225000,"1,829,025",,,,,
17-maret,14,Bi pembelian material tgl 17/03/2026- 2pcs sleeve @ 30.000,Material,,30000,"1,799,025",,,,,
17-maret,14,diskon pembelian,diskon,,-5000,"1,804,025",,,,,
17-maret,14,Bi untuk pembelian rumah tangga tgl 17/03/2026- 2pcs neo /cf mchno @ 10.900,Rumah Tangga,,21800,"1,782,225",,,,,
17-maret,14,Bi untuk pembelian rumah tangga tgl 17/03/2026- 1pcs gmp gula @ 17.500,Rumah Tangga,,17500,"1,764,725",,,,,
