,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,
Periode 01-30 April 2026,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,kategori, Penerimaan , Pengeluaran ,Saldo,,,,,
16-April,13,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 16/04/2026  ,Listrik Server,,"55,000","4,308,120",,,,,
16-April,13,Bi untuk konsumsi liburan bali tgl 16/04/2026,konsumsi,,"163,000","4,145,120",,,,,
16-April,13,"Bi untuk konsumsi maintance martopuro,yoonkav tgl 16/04/2026",konsumsi,,"5,000","4,140,120",,,,,
16-April,13,Bi pembelian ATK tgl 16/04/2026- 3pcs isi label tape  @ 31.000,ATK,,"84,210","4,055,910",,,,,
16-April,13,Bi untuk sumbangan DIF kostrad tgl 16/04/2026,lain-lain,,"150,000","3,905,910",,,,,
17-April,14,Bi BBM N 2113 EFD km 517797 tgl 17/04/2026 ltr 2.0 randuagung,transportasi,,"20,000","3,885,910",,,,,
17-April,14,"Bi BBM N 21109 EFD km 484710 tgl 17/04/2026 ltr 2.0 maintance losari,song-song",transportasi,,"20,000","3,865,910",,,,,
17-April,14,"Bi BBM N 2760 ABO km 53616 tgl 17/04/2026 ltr 2.5 maintance martopuro,yonkav",transportasi,,"25,000","3,840,910",,,,,
17-April,14,Bi untuk perawatan  kendaraan service N 2113 EFD tgl 17/04/2026,perawatan kendaraan ,,"15,000","3,825,910",,,,,
17-April,14,Bi untuk konsumsi kantor tgl 17/04/2026,konsumsi kantor,,"105,000","3,720,910",,,,,
17-April,14,Bi untuk pak kluntung tgl 17/04/2026,lain-lain,,"50,000","3,670,910",,,,,
18-April,15,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 18/04/2026              ,Listrik Kantor,,"52,000","3,618,910",,,,,
18-April,15,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 18/04/2026              ,Listrik Kantor,,"104,000","3,514,910",,,,,
18-April,15,Bi untuk konsumsi kantor tgl 18/04/2026,konsumsi kantor,,80000,"3,434,910",,,,,
21-April,16,dana Masuk Operasional,dana masuk,2500000,,"5,934,910",,,,,
21-April,16,Bi untuk konsumsi kantor tgl 19/04/2026,konsumsi kantor,,60000,"5,874,910",,,,,
21-April,16,Bi untuk konsumsi kantor tgl 20/04/2026,konsumsi kantor,,34000,"5,840,910",,,,,
21-April,16,Bi untuk konsumsi kantor tgl 21/04/2026,konsumsi kantor,,100000,"5,740,910",,,,,
21-April,16,Bi untuk konsumsi CSR sekolah lawang tgl 21/04/2026,konsumsi,,10000,"5,730,910",,,,,
21-April,16,Bi BBM L 1793 ACP tgl 20/04/2026 ltr 15.0 ,transportasi,,150000,"5,580,910",,,,,
21-April,16,"Bi BBM N 2114 EFD km 566721 tgl 21/04/2026 ltr 1.5 maintance lawang,bedali",transportasi,,15000,"5,565,910",,,,,
21-April,16,Bi pembelian material tgl  20/04/2026- 1pcs solasi national @ 7.500,Material,,7500,"5,558,410",,,,,
21-April,16,Bi pembelian material tgl  20/04/2026- 1pcs idm sltp bng2s @ 5.000,Material,,5000,"5,553,410",,,,,
21-April,16,Bi pembelian material tgl  21/04/2026- 1pcs hit spray @ 13.000,Material,,13000,"5,540,410",,,,,
21-April,16,Bi pembelian material tgl  21/04/2026- 1pcs isolasi nasional @ 9.000,Material,,9000,"5,531,410",,,,,
21-April,16,Bi pembelian material tgl  21/04/2026- 1pcs kabel tis @ 9.500,Material,,9500,"5,521,910",,,,,
21-April,16,Bi pembelian material tgl  21/04/2026- 1pcs solasi @ 13.500,Material,,13500,"5,508,410",,,,,
21-April,16,Bi pembelian material tgl  21/04/2026- 1pcs modem f663nv9+adap @ 125.000,Material,,125000,"5,383,410",,,,,
21-April,16,Bi pembelian ATK tgl 21/04/2026- 10pcs materai @ 10.000,ATK,,100000,"5,283,410",,,,,
22-April,17,Bi untuk konsumsi kantor tgl 22/04/2026,konsumsi kantor,,175000,"5,108,410",,,,,
22-April,17,Bi untuk konsumsi rapat noc dan teknisi tgl 22/04/2026,konsumsi,,150000,"4,958,410",,,,,
22-April,17,Bi untuk konsumsi taging tiang mangliawan tgl 22/04/2026,konsumsi,,50000,"4,908,410",,,,,
22-April,17,Bi untuk konsumsi  mangliawan tgl 22/04/2026,konsumsi,,10500,"4,897,910",,,,,
22-April,17,Bi BBM N 1124 IC tgl 22/04/2026 ltr 15.0 ,transportasi,,150000,"4,747,910",,,,,
22-April,17,Bi BBM N 1124 IC tgl 22/04/2026 ltr 10.0,transportasi,,100000,"4,647,910",,,,,
22-April,17,Bi BBM M 3639 AI km 43221 tgl 22/04/2026 ltr 2.0 taging pelanggan mangliawan,transportasi,,20000,"4,627,910",,,,,
22-April,17,Bi BBM N2113 EFD km 205354 tgl 22/04/2026 ltr 2.0 taging tiang mangliawan,transportasi,,20000,"4,607,910",,,,,
22-April,17,"Bi BBM N 3346 ABF km 708851 tgl 22/04/2026 ltr 2.0 maintance rest area,karangploso",transportasi,,20000,"4,587,910",,,,,
22-April,17,Bi BBM P 2616 km 81924 tgl 22/04/2026 ltr 1.0 CSR sekolah lawang,transportasi,,10000,"4,577,910",,,,,
22-April,17,Bi untuk perawatan  kendaraan cuci N 1124 IC tgl 22/04/2026,perawatan kendaraan ,,45000,"4,532,910",,,,,
22-April,17,Bi untuk operasional ke surabaya bu april dan hawin tgl 22/04/2026,lain-lain,,100000,"4,432,910",,,,,
22-April,17,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 20/04/2026              ,Listrik Kantor,,103000,"4,329,910",,,,,
22-April,17,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 22/04/2026,Listrik Kantor,,53000,"4,276,910",,,,,
22-April,17,Bi pembelian ATK tgl 21/04/2026- 2pcs materai @ 11.700,ATK,,23400,"4,253,510",,,,,
22-April,17,Bi untuk pembelian rumah tangga tgl 22/04/2026- 1pcs idm kamper @ 14.900,Rumah Tangga,,14900,"4,238,610",,,,,
22-April,17,diskon pembelian,diskon,3000,,"4,241,610",,,,,
22-April,17,Bi pembelian material tgl  22/04/2026- 1pcs pilox putih @ 46.000,Material,,46000,"4,195,610",,,,,
23-April,18,dana Masuk Operasional,dana masuk,2000000,,"6,195,610",,,,,
23-April,18,"Bi BBM N 2668 GM km 504279 tgl 23/04/2026 ltr 1.5 maintance rest area,karangploso",transportasi,,15000,"6,180,610",,,,,
23-April,18,Bi BBM N 2113 EFD km 42995 tgl 23/04/2026 ltr 2.0 maintance ngadipuro,transportasi,,20000,"6,160,610",,,,,
23-April,18,Bi BBM N 2109 EFD km 689482 tgl 23/04/2026 ltr 1.0 odp randuagung,transportasi,,10000,"6,150,610",,,,,
23-April,18,Bi BBM N 2114 EFD km 684323 tgl 23/04/2026 ltr 1.5 odp randutelu,transportasi,,15000,"6,135,610",,,,,
23-April,18,Bi BBM N 3346 ABF km 709345 tgl 23/04/2026 ltr 1.0 odp kunci,transportasi,,12000,"6,123,610",,,,,
23-April,18,Bi BBM N 2668 GM km 901509 tgl 23/04/2026 ltr 1.0 odp kunci,transportasi,,12000,"6,111,610",,,,,
23-April,18,Bi pembelian ATK tgl 23/04/2026- 3pcs map clear kiky @ 24.850,ATK,,74550,"6,037,060",,,,,
23-April,18,Bi pembelian ATK tgl 23/04/2026- 1pcs amplop ppl @ 18.100,ATK,,18100,"6,018,960",,,,,
23-April,18,diskon pembelian,diskon,2950,,"6,021,910",,,,,
23-April,18,Bi untuk pembelian rumah tangga tgl 23/04/2026- 1pcs idm f/t 2ply @ 22.500,Rumah Tangga,,22500,"5,999,410",,,,,
23-April,18,Bi untuk pembelian rumah tangga tgl 23/04/2026- 2pcs pikkopi aren @ 12.900,Rumah Tangga,,25800,"5,973,610",,,,,
23-April,18,Bi untuk pembelian rumah tangga tgl 23/04/2026- 2pcs lwk kopi murni @ 10.500,Rumah Tangga,,21000,"5,952,610",,,,,
23-April,18,Bi untuk pembelian rumah tangga tgl 23/04/2026- 1pcs neo/cf mchno @ 10.900,Rumah Tangga,,10900,"5,941,710",,,,,
23-April,18,Bi untuk pembelian rumah tangga tgl 23/04/2026- 1pcs idm ktg plstk@ 300,Rumah Tangga,,300,"5,941,410",,,,,
23-April,18,diskon pembelian,diskon,,-3600,"5,945,010",,,,,
23-April,18,Bi pembelian material tgl  23/04/2026- 1pcs 2F4E PCB @ 68.000,Material,,68000,"5,877,010",,,,,
23-April,18,Bi pembelian material tgl  23/04/2026- 1pcs adaptor @ 15.000,Material,,15000,"5,862,010",,,,,
23-April,18,Bi untuk operasional pak bara bb yonkav tgl 23/04/2026,lain-lain,,100000,"5,762,010",,,,,
23-April,18,Bi untuk konsumsi  maintance ngadipuro tgl 23/04/2026,konsumsi,,7000,"5,755,010",,,,,
23-April,18,Bi untuk konsumsi  BB ODP randuagung tgl 23/04/2026,sangu,,18000,"5,737,010",,,,,
23-April,18,Bi untuk konsumsi  BB ODP karangkunci tgl 23/04/2026,sangu,,50000,"5,687,010",,,,,
23-April,18,Bi untuk konsumsi  BB ODP randutelu tgl 23/04/2026,sangu,,50000,"5,637,010",,,,,
23-April,18,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 23/04/2026              ,Listrik Kantor,,103000,"5,534,010",,,,,
24-April,19,Bi pembelian material tgl  24/04/2026- 3pcs alkes @ 30.000,Material,,90000,"5,444,010",,,,,
24-April,19,Bi pembelian material tgl  24/04/2026- 1pcs spidol @ 5.000,Material,,5000,"5,439,010",,,,,
24-April,19,Bi pembelian material tgl  24/04/2026- 1pcs k.gosok @ 8.000,Material,,8000,"5,431,010",,,,,
24-April,19,Bi pembelian material tgl  24/04/2026- 1pcs slitter @ 40.000,Material,,40000,"5,391,010",,,,,
24-April,19,Bi pembelian material tgl  24/04/2026- 1pcs spliter box @ 200.000,Material,,200000,"5,191,010",,,,,
24-April,19,Bi untuk pembelian rumah tangga tgl 24/04/2026- 1pcskresek besar @ 25.000,Rumah Tangga,,25000,"5,166,010",,,,,
24-April,19,Bi untuk pembelian rumah tangga tgl 24/04/2026- 1pcs minyak tropical@ 47.100,Rumah Tangga,,47100,"5,118,910",,,,,
24-April,19,Bi untuk pembelian rumah tangga tgl 24/04/2026- 1pcs kp branding @ 5.00,Rumah Tangga,,500,"5,118,410",,,,,
24-April,19,diskon pembelian,diskon,2200,,"5,120,610",,,,,
24-April,19,Bi BBM N 3457 ABF km 4873 tgl 24/04/2026 ltr 2.0 karanglo,transportasi,,20000,"5,100,610",,,,,
24-April,19,Bi BBM N 2109  km 442209 tgl 24/04/2026 ltr 1.5 maintance gondang,transportasi,,15000,"5,085,610",,,,,
24-April,19,Bi BBM N 3346 ABF km 709281 tgl 24/04/2026 ltr 1.5 ODP karangkunci,transportasi,,15000,"5,070,610",,,,,
24-April,19,Bi BBM L 1793 ACP  tgl 24/04/2026 ltr 10.0 ,transportasi,,100000,"4,970,610",,,,,
24-April,19,Bi BBM N 2114 EFD km 2011372 tgl 24/04/2026 ltr 1.5 ODP randutelu,transportasi,,15000,"4,955,610",,,,,
24-April,19,Bi BBM N 2113 EFD km 496747 tgl 24/04/2026 ltr 1.0 ODP yonkav,transportasi,,10000,"4,945,610",,,,,
24-April,19,Bi BBM P 2616 km 8316 tgl 24/04/2026 ltr 1.0 singosari,transportasi,,10000,"4,935,610",,,,,
24-April,19,Bi parkir P 2616 UC Bank Mandiri Singosari tgl 24/04/2026,transportasi,,"2,000","4,933,610",,,,,
24-April,19,Bi untuk konsumsi  BB ODP karangkunci tgl 24/04/2026,sangu,,50000,"4,883,610",,,,,
24-April,19,Bi untuk konsumsi  BB ODP randutelu tgl 24/04/2026,sangu,,50000,"4,833,610",,,,,
24-April,19,Bi untuk konsumsi  BB ODP yonkavtgl 24/04/2026,sangu,,50000,"4,783,610",,,,,
24-April,19,Bi untuk ongkir kabel (turen) tgl 24/04/2026,lain-lain,,180500,"4,603,110",,,,,
25-April,20,dana Masuk Operasional,dana masuk,1500000,,"6,103,110",,,,,
25-April,20,Bi untuk pembelian rumah tangga tgl 25/04/2026- 1pcs idm kmpr deo @ 21.500,Rumah Tangga,,21500,"6,081,610",,,,,
25-April,20,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 25/04/2026,Listrik Kantor,,204000,"5,877,610",,,,,
25-April,20,Bi pembelian material tgl  25/04/2026- 1pcs baygon flo @ 21.200,Material,,21200,"5,856,410",,,,,
25-April,20,Bi pembelian material tgl  25/04/2026- 1pcs kp branding @ 200,Material,,200,"5,856,210",,,,,
25-April,20,Bi untuk perawatan  kendaraan tambal ban N 2668 GM tgl 25/04/2026,perawatan kendaraan ,,20000,"5,836,210",,,,,
25-April,20,Bi BBM N 2110 EFD km 442301 tgl 25/04/2026 ltr 1.5 ODP yonkav,transportasi,,15000,"5,821,210",,,,,
25-April,20,"Bi BBM N 2113 EFD km 43874 tgl 25/04/2026 ltr 2.5 maintance comboran,bedali,songsong",transportasi,,25000,"5,796,210",,,,,
25-April,20,Bi BBM N 6840 GE km 9868721  tgl 25/04/2026 ltr 1.5 odp randutelu,transportasi,,15000,"5,781,210",,,,,
25-April,20,Bi BBM N 2109 EFD tgl 25/04/2026 ltr 1.0 odp randutelu,transportasi,,12000,"5,769,210",,,,,
25-April,20,Bi BBM N 3346 ABF km 701051 tgl 25/04/2026 ltr 1.5 odp randuagung,transportasi,,15000,"5,754,210",,,,,
25-April,20,Bi BBM M 5687 CP km 491405 tgl 25/04/2026 ltr 1.0 karangkunci,transportasi,,10000,"5,744,210",,,,,
25-April,20,"Bi BBM M 3639 AI km 43281 tgl 25/04/2026 ltr 2.0 maintance comboran, karang kunci",transportasi,,20000,"5,724,210",,,,,
25-April,20,Bi untuk pembayaran tagihan FIF no. 851000267723 angsr ke-29 tgl 25/04/2026,Cicilan Motor,,792000,"4,932,210",,,,,
25-April,20,Bi untuk konsumsi  maintance comboran tgl 25/04/2026,konsumsi,,20000,"4,912,210",,,,,
25-April,20,Bi untuk konsumsi kantor tgl 25/04/2026,konsumsi kantor,,100000,"4,812,210",,,,,
25-April,20,Bi untuk konsumsi  BB ODP randutelu tgl 25/04/2026,sangu,,50000,"4,762,210",,,,,
25-April,20,Bi untuk konsumsi  BB ODP randuagung tgl 25/04/2026,sangu,,50000,"4,712,210",,,,,
25-April,20,Bi untuk konsumsi  BB ODP yonkav tgl 25/04/2026,sangu,,50000,"4,662,210",,,,,
27-April,21,dana Masuk Operasional,dana masuk,2000000,,"6,662,210",,,,,
27-April,21,Bi BBM P 2616 UC km 8316 tgl 26/04/2026 ltr 2.0  CSR sekolahan blimbing,transportasi,,20000,"6,642,210",,,,,
27-April,21,Bi BBM N 2668 GM km 501408 tgl 27/04/2026 ltr 2.0 karangkunci,transportasi,,20000,"6,622,210",,,,,
27-April,21,Bi BBM N 2114 EFD  tgl 27/04/2026 ltr 1.0 ,transportasi,,10000,"6,612,210",,,,,
27-April,21,"Bi BBM N 2760 ABO km53776 tgl 27/04/2026 ltr 2.0 maintance gondang,losari",transportasi,,20000,"6,592,210",,,,,
27-April,21,Bi BBM N 3346 ABF km 711051 tgl 27/04/2026 ltr 1.0 odp randuagung,transportasi,,10000,"6,582,210",,,,,
27-April,21,Bi BBM N 6840 GE km 9763762 tgl 27/04/2026 ltr 1.0 odp randuagung,transportasi,,10000,"6,572,210",,,,,
27-April,21,"Bi BBM N 2113 EFD km 525313 tgl 27/04/2026 ltr 2.5 maintance songsong,bedali,bumiayu",transportasi,,25000,"6,547,210",,,,,
27-April,21,Bi parkir N 2113 EFD Bank Mandiri Singosari tgl 27/04/2026,transportasi,,2000,"6,545,210",,,,,
27-April,21,Bi untuk pembelian rumah tangga tgl 27/04/2026- 1pcs kresek besar@ 30.000,Rumah Tangga,,30000,"6,515,210",,,,,
27-April,21,Bi untuk pembelian rumah tangga tgl 27/04/2026- 1pcs idm ktg plstk@ 300,Rumah Tangga,,300,"6,514,910",,,,,
27-April,21,Bi untuk pembelian rumah tangga tgl 27/04/2026- 2pcs lwk kopi murni@ 10.500,Rumah Tangga,,21000,"6,493,910",,,,,
27-April,21,Bi untuk pembelian rumah tangga tgl 27/04/2026- 1pcs  rose b gula@ 17.500,Rumah Tangga,,17500,"6,476,410",,,,,
27-April,21,Bi untuk pembelian rumah tangga tgl 27/04/2026- 3pcs neo cf mchno @ 10.900,Rumah Tangga,,32700,"6,443,710",,,,,
27-April,21,Bi untuk pembelian rumah tangga tgl 27/04/2026- 1pcs neo crml @ 10.800,Rumah Tangga,,10800,"6,432,910",,,,,
27-April,21,diskon pembelian ,diskon,4000,,"6,436,910",,,,,
27-April,21,Bi untuk pembayaran tagihan FIF no. 851000267823 angsr ke-29 tgl 27/04/2026,Cicilan Motor,,799000,"5,637,910",,,,,
27-April,21,Bi untuk konsumsi kantor tgl 27/04/2026,konsumsi kantor,,110000,"5,527,910",,,,,
27-April,21,Bi untuk konsumsi CSR sekolahan blimbing tgl 26/04/2026,konsumsi,,15000,"5,512,910",,,,,
27-April,21,Bi untuk konsumsi  BB ODP randuagung pic ridwan tgl 27/04/2026,sangu,,50000,"5,462,910",,,,,
27-April,21,Bi untuk konsumsi  BB ODP randuagung pic tyo tgl 27/04/2026,sangu,,50000,"5,412,910",,,,,
27-April,21,Bi untuk konsumsi  BB ODP randuagung pic dafa tgl 27/04/2026,sangu,,50000,"5,362,910",,,,,
27-April,21,Bi untuk konsumsi  BB ODP randuagung pic rafli tgl 27/04/2026,sangu,,50000,"5,312,910",,,,,
27-April,21,Bi pembelian material tgl  27/04/2026- 1pcs charger adaptor splicer@ 523.000,Material,,523000,"4,789,910",,,,,
28-April,22,dana Masuk Operasional,dana masuk,4000000,,"8,789,910",,,,,
28-April,22,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 28/04/2026,Listrik Kantor,,204000,"8,585,910",,,,,
28-April,22,Bi untuk konsumsi kantor tgl 28/04/2026,konsumsi kantor,,100000,"8,485,910",,,,,
28-April,22,Bi untuk konsumsi maintance ngadipuro tgl 28/04/2026,konsumsi,,10000,"8,475,910",,,,,
28-April,22,Bi untuk konsumsi  BB ODP randuagung pic dafa tgl 28/04/2026,sangu,,50000,"8,425,910",,,,,
28-April,22,Bi untuk konsumsi  BB ODP randuagung pic rafli tgl 28/04/2026,sangu,,50000,"8,375,910",,,,,
28-April,22,Bi untuk konsumsi  BB ODP randuagung pic ridwan tgl 28/04/2026,sangu,,50000,"8,325,910",,,,,
28-April,22,Bi untuk konsumsi  BB ODP randuagung pic tyo tgl 28/04/2026,sangu,,50000,"8,275,910",,,,,
28-April,22,Bi untuk konsumsi csr sekolahan blimbing tgl 28/04/2026,konsumsi,,10000,"8,265,910",,,,,
28-April,22,Bi BBM L 1793 ACP  tgl 23/04/2026 ltr 10.0  gadang,transportasi,,100000,"8,165,910",,,,,
28-April,22,Bi BBM L 1793 ACP  tgl 28/04/2026 ltr 15.0  csr sidoarjo,transportasi,,150000,"8,015,910",,,,,
28-April,22,Bi BBM N 2109 EFD km 491239  tgl 28/04/2026 ltr 1.5 odp randuagung rw5,transportasi,,15000,"8,000,910",,,,,
28-April,22,Bi BBM N 2114 EFD km 732625 tgl 28/04/2026 ltr 1.5 odp randuagung ,transportasi,,15000,"7,985,910",,,,,
28-April,22,Bi BBM P 2616 UC  km 8316 tgl 28/04/2026 ltr 2.0 csr sekolahan blimbing,transportasi,,20000,"7,965,910",,,,,
28-April,22,Bi BBM M 5687 CP km 492413 tgl 28/04/2026 ltr 2.0 odp randuagung ,transportasi,,20000,"7,945,910",,,,,
28-April,22,Bi BBM N 2418 YBI  tgl 28/04/2026 ltr 1.0 odp randuagung ,transportasi,,10000,"7,935,910",,,,,
28-April,22,"Bi BBM N 3457 ABF km 553201 tgl 28/04/2026 ltr 1.0 Singosari, odp randuagung",transportasi,,10000,"7,925,910",,,,,
28-April,22,Bi BBM N 3346 ABF km 711203 tgl 28/04/2026 ltr 1.5  odp randuagung,transportasi,,15000,"7,910,910",,,,,
28-April,22,Bi parkir N 3457 ABF Bank Mandiri Singosari tgl 28/04/2026,transportasi,,2000,"7,908,910",,,,,
28-April,22,Bi parkir N 3457 ABF Dian Stationary Singosari tgl 28/04/2026,transportasi,,2000,"7,906,910",,,,,
28-April,22,Bi pembelian ATK tgl 28/04/2026- 10pcs id card sqeezy @ 1.300,ATK,,13000,"7,893,910",,,,,
28-April,22,Bi pembelian ATK tgl 28/04/2026- 10pcs tali kait jepit @ 1.000,ATK,,10000,"7,883,910",,,,,
28-April,22,Bi pembelian ATK tgl 28/04/2026- 7pcs id card skynet @ 7.500,ATK,,54500,"7,829,410",,,,,
28-April,22,Bi pembelian ATK tgl 28/04/2026- 1pcs casing hp cs @ 12.000,ATK,,12000,"7,817,410",,,,,
28-April,22,Bi untuk perawatan  kendaraan service pak agus krian tgl 28/04/2026,perawatan kendaraan ,,326000,"7,491,410",,,,,
28-April,22,Bi untuk pembayaran tagihan FIF no. 851000265523 angsr ke-29 tgl 28/04/2026,Cicilan Motor,,803000,"6,688,410",,,,,
28-April,22,Bi untuk pembayaran etol 6013500803233528 tgl 28/04/2026 csr sidoarjo,etol,,150000,"6,538,410",,,,,
28-April,22,Bi untuk pembelian listrik server lawang idpel 513010031061 tgl 28/04/2026              ,Listrik server lawang,,200000,"6,338,410",,,,,
29-April,23,dana Masuk Operasional,dana masuk,2000000,,"8,338,410",,,,,
29-April,23,Bi BBM N 2109 EFD km 491945  tgl 29/04/2026 ltr 1.5 odp randuagung ,transportasi,,15000,"8,323,410",,,,,
29-April,23,Bi BBM N 2114 EFD km 404724 tgl 29/04/2026 ltr 1.5 maintance ngadipuro,transportasi,,15000,"8,308,410",,,,,
29-April,23,Bi BBM N 3457 ABF km 553324 tgl 29/04/2026 ltr 1.0 Singosari,transportasi,,10000,"8,298,410",,,,,
29-April,23,"Bi BBM N 2668GM km 602170 tgl 29/04/2026 ltr 2.0 maintance comboran,odp randuagung",transportasi,,20000,"8,278,410",,,,,
29-April,23,"Bi BBM N 4438 EE km 45281 tgl 29/04/2026 ltr 1.5 maintanice bedali,arjosari",transportasi,,15000,"8,263,410",,,,,
29-April,23,Bi BBM P 2616 UC km 8316 tgl 29/04/2026 ltr 1.5 csr sekolahan blimbing,transportasi,,20000,"8,243,410",,,,,
29-April,23,Bi BBM N 3346 ABF km 711601 tgl 29/04/2026 ltr 1.0 ODP randuagung,transportasi,,10000,"8,233,410",,,,,
29-April,23,Bi BBM N 2668 GM km 602149 tgl 29/04/2026 ltr 0.8 ODP karangkunci,transportasi,,8180,"8,225,230",,,,,
29-April,23,Bi BBM N 6840 GE km 9236321 tgl 29/04/2026 ltr 1.5 ODP randuagung,transportasi,,15000,"8,210,230",,,,,
29-April,23,Bi parkir N 3457 ABF Bank Mandiri Singosari tgl 29/04/2026,transportasi,,2000,"8,208,230",,,,,
29-April,23,Bi pembelian material tgl  29/04/2026- closure @ 450.000,Material,,450000,"7,758,230",,,,,
29-April,23,Bi untuk pembayaran pajak bangunan kantor tgl 29/04/2026,lain-lain,,104000,"7,654,230",,,,,
29-April,23,Bi pembelian ATK tgl 29/04/2026- 20pcs kertas sertif @ 1.250,ATK,,25000,"7,629,230",,,,,
29-April,23,Bi untuk konsumsi  BB ODP randuagung pic dafa tgl 29/04/2026,sangu,,50000,"7,579,230",,,,,
29-April,23,Bi untuk konsumsi  BB ODP randuagung pic rafli tgl 29/04/2026,sangu,,50000,"7,529,230",,,,,
29-April,23,Bi untuk konsumsi  BB ODP randuagung pic ridwan tgl 29/04/2026,sangu,,50000,"7,479,230",,,,,
29-April,23,Bi untuk konsumsi  BB ODP randuagung pic tyo tgl 29/04/2026,sangu,,50000,"7,429,230",,,,,
29-April,23,Bi untuk konsumsi csr sekolahan blimbing tgl 29/04/2026,konsumsi,,15000,"7,414,230",,,,,
29-April,23,Bi untuk konsumsi kantor tgl 29/04/2026,konsumsi kantor,,120000,"7,294,230",,,,,
29-April,23,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 29/04/2026,Listrik Server,,152000,"7,142,230",,,,,
30-April,24,dana Masuk Operasional,dana masuk,226000,,"7,368,230",,,,,
30-April,24,dana Masuk Operasional,dana masuk,2000000,,"9,368,230",,,,,
30-April,24,Bi BBM M 3639 AI  km 488931 tgl  28/04/2026 ltr 2.0 maintance tutur,transportasi,,20000,"9,348,230",,,,,
30-April,24,Bi BBM N 2109 EFD km 492955 tgl 30/04/2026 ltr 2.0 ,transportasi,,20000,"9,328,230",,,,,
30-April,24,Bi BBM L 1793 ACP  tgl 30/04/2026 ltr 10.0  ,transportasi,,100000,"9,228,230",,,,,
30-April,24,Bi BBM N 3346 ABF km 711701  tgl 30/04/2026 ltr 2.0 ODP randuagung,transportasi,,20000,"9,208,230",,,,,
30-April,24,Bi BBM N 2760 ABO km 54123 tgl 30/04/2026 ltr 1.5 maintance randuagung,transportasi,,15000,"9,193,230",,,,,
30-April,24,Bi BBM N 2113 EFD km 43221 tgl 30/04/2026 ltr 2.0 taging tiang lawang,transportasi,,20000,"9,173,230",,,,,
30-April,24,Bi untuk perawatan  kendaraan service L 1793 ACP tgl 30/04/2026,perawatan kendaraan ,,300000,"8,873,230",,,,,
30-April,24,Bi untuk konsumsi kantor tgl  30/04/2026,konsumsi kantor,,121000,"8,752,230",,,,,
30-April,24,Bi untuk konsumsi csr sekolah blimbing tgl  29/04/2026,konsumsi,,15000,"8,737,230",,,,,
30-April,24,Bi untuk konsumsi csr sekolah blimbing tgl  30/04/2026,konsumsi,,15000,"8,722,230",,,,,
30-April,24,Bi untuk konsumsi taging tiang lawang tgl  30/04/2026,konsumsi,,14500,"8,707,730",,,,,
30-April,24,Bi untuk konsumsi  BB ODP randuagung pic ridwan tgl 30/04/2026,sangu,,50000,"8,657,730",,,,,
30-April,24,Bi untuk konsumsi  BB ODP randuagung pic dafa tgl 30/04/2026,sangu,,50000,"8,607,730",,,,,
30-April,24,Bi untuk konsumsi  BB ODP randuagung pic rafli tgl 30/04/2026,sangu,,50000,"8,557,730",,,,,
30-April,24,Bi untuk perawatan  kendaraan service isi nitrogen L 1793 ACP tgl 30/04/2026,perawatan kendaraan ,,40000,"8,517,730",,,,,
30-April,24,Bi pembelian material tgl  30/04/2026- 10pcs kabel poe @ 9.300,Material,,91000,"8,426,730",,,,,
30-April,24,Bi untuk ongkir kabel tgl 30/04/2026,lain-lain,,180500,"8,246,230",,,,,
30-April,24,Bi untuk peneluaran pak budi tgl 30/04/2026,lain-lain,,280000,"7,966,230",,,,,
,,,,"31,986,499","24,020,269","7,966,230",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,RINCIAN KAS BON,,,,,,,,,
Tanggal,No.Bukti,,,,,,,,,,
,,,,,,,,,,,
1-Apr-26,,bensin noval  tgl 31,,,"50,000",,,,,,
,,cod bu april tas,,,"26,000",,,,,,
,,es adiva,,,"2,000",,,,,,
,,cod pt     tgl 1 50,,,"57,000",,,,,,
2-Apr-26,,cod pak budi buku,,,"123,000",,,,,,
,,cod pak budi,,,"110,000",,,,,,
,,ibu beli sabun,,,"5,000",,,,,,
3-Apr-26,,ROKOK PAK BUDI,,,"24,000",,,,,,
,,ROKOK PAK BUDI,,,"23,500",,,,,,
4-Apr-26,,avis cod,,,"65,000",,,,,,
,,noval ,,,"50,000",,,,,,
,,bensin wuling lagi ,,,"100,000",,,,,,
05-aprl,,bowo bu april,,,"200,000",,,,,,
06-April,,beli lampu ,,,"50,000",,,,,,
,,cod pak budi,,,"53,000",,,,,,
,,BERAS,,,"30,000",,,,,,
07-maret,,rokok PAK BUDI,,,"47,000",,,,,,
,,pak budi beli bakso puskesmas,,,"15,000",,,,,,
8-Apr-26,,rokok PAK BUDI,,,"47,000",,,,,,
